Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Alex Brolsma	F	Jr	25	15	22	37	1.4800	21	42	0	3	0	0
Michelle Holmes	F	Sr	27	16	15	31	1.1481	2	4	2	4	1	0
Meg Gilbride	F	Fr	27	10	17	27	1.0000	4	8	1	0	0	0
Marisa Ketterman	F	Sr	27	14	12	26	0.9630	0	0	4	2	1	0
Kayla Trujillo	F	Fr	27	6	13	19	0.7037	5	10	0	2	0	0
Alysha Raimo	F	Sr	27	6	9	15	0.5556	11	33	3	1	1	0
Katie Flynn	D	Sr	27	2	13	15	0.5556	5	10	1	0	0	0
Lanie Matsumoto	F	Sr	27	8	6	14	0.5185	17	34	2	1	0	1
Delaney Guimont	D	Fr	27	4	9	13	0.4815	22	44	2	1	0	0
Bridgette Prentiss	D	Fr	27	2	10	12	0.4444	4	8	0	1	0	0
Katie Neuburger	D	Fr	27	2	9	11	0.4074	11	22	0	0	0	0
Nina Danforth	F	Sr	27	3	7	10	0.3704	7	14	1	0	0	0
Hailee Craig	F	Jr	26	6	2	8	0.3077	4	8	0	5	0	0
Kelsey Holmes	F	Fr	24	1	7	8	0.3333	2	4	0	0	0	0
Alli Sugar	F	Fr	14	2	4	6	0.4286	1	2	1	0	0	0
Erin Pengeroth	D	Jr	22	0	4	4	0.1818	0	0	0	0	0	0
Jillian Koop	D	Fr	15	2	1	3	0.2000	0	0	1	0	0	0
Lauren White	D	Fr	12	0	3	3	0.2500	2	4	0	0	0	0
Ariana Soldano	F	Fr	15	1	1	2	0.1333	1	2	0	0	0	0
Casey Diana	D	Sr	15	1	1	2	0.1333	1	2	0	0	0	0
Sara Diltz	F	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
Savannah Hainley	D	So	7	0	0	0	0.0000	1	2	0	0	0	0
Shannon O'Neil	G	Sr	23	0	0	0	0.0000	1	2	0	0	0	0
Jessica Strack	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Madison Murray	G	Jr	5	0	0	0	0.0000	0	0	0	0	0	0
