Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Andrea Peterson	D	Sr	28	11	26	37	1.3214	4	8	1	0
Kelly Crandall	F	Sr	28	17	17	34	1.2143	5	8	2	1
Margaret Dorer	D	Jr	27	9	23	32	1.1852	2	7	0	0
Molly Doyle	F	Jr	19	18	9	27	1.4211	3	7	0	0
Melissa Mackley	F	Fr	28	9	18	27	0.9643	2	2	1	0
Jenny Pusch	F	So	28	14	12	26	0.9286	3	6	0	0
Jessica Doig	F	So	26	12	13	25	0.9615	1	4	0	0
Stefanie Ubl	D	Jr	24	11	13	24	1.0000	2	2	0	2
Mari Gunderson	F	So	28	11	11	22	0.7857	1	0	0	0
Christine Wicker	F	So	28	6	6	12	0.4286	0	3	0	0
Jenna Johnson	F	Fr	19	3	6	9	0.4737	0	1	0	0
Brigitte Bartholdi	F	So	27	2	5	7	0.2593	0	0	0	0
Danny Blacker	D	Jr	25	1	5	6	0.2400	0	1	0	0
Liz Haakenson	D	So	27	0	6	6	0.2222	0	0	0	0
Claire Opsahl	D	Fr	28	3	2	5	0.1786	0	0	0	0
Alyssa Saunders	F	Fr	27	2	3	5	0.1852	2	1	0	0
Laura Vannelli	D	Jr	28	1	4	5	0.1786	0	0	0	0
Laura Hillman	F	Fr	23	3	1	4	0.1739	0	0	0	0
Jenna Bullock	F	Fr	19	0	3	3	0.1579	0	0	0	0
Sarah Heinbigner	F	So	9	1	1	2	0.2222	0	0	0	0
Sarah Windhorst	G	Fr	14	0	0	0	0.0000	0	0	0	0
Kitty Hurley	G	Sr	10	0	0	0	0.0000	0	0	0	0
Amanda Rosequist	G	So	8	0	0	0	0.0000	0	0	0	0
Raissa Carpenter	F	Fr	5	0	0	0	0.0000	0	0	0	0
Breanna Scavo	G	Fr	13	0	0	0	0.0000	0	0	0	0
