Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Allison Eder-Zdechlik	F	Sr	25	16	8	24	0.9600	2	4	3	5	3	1
Erica Power	F	So	25	11	9	20	0.8000	1	5	1	2	2	0
Katy Fuller	F	So	25	4	9	13	0.5200	8	16	0	3	0	0
Diana Draayer	F	So	23	7	5	12	0.5217	6	12	2	1	1	0
Erin Moes	D	Fr	24	5	6	11	0.4583	8	16	1	1	0	0
Marina Chapman	D	Fr	21	4	7	11	0.5238	7	14	0	2	1	0
Laine Fischer	D	Fr	25	5	4	9	0.3600	4	8	0	0	1	1
Emily Reibert	F	Sr	22	4	3	7	0.3182	0	0	1	3	0	0
Georgia Eger	F	Fr	21	4	2	6	0.2857	7	14	1	1	0	0
Kaitlyn Klein	F	So	8	3	3	6	0.7500	1	2	0	1	0	0
Laura Johnson	D	So	21	1	5	6	0.2857	10	20	0	1	0	0
Rachel Skoglund	D	So	24	2	1	3	0.1250	2	4	0	0	0	0
Allie Lewis	F	Jr	25	1	2	3	0.1200	4	8	0	0	0	0
Emily Gustafson	F	Jr	15	1	2	3	0.2000	3	6	0	0	0	0
Allie Stanger	F	Fr	23	1	2	3	0.1304	1	2	0	0	0	0
Courtney Bethune	D	Jr	24	1	2	3	0.1250	2	4	0	0	0	0
Courtney Potter	D	Jr	23	0	2	2	0.0870	5	10	0	0	0	0
Madison Bergren	F	Fr	24	0	2	2	0.0833	4	8	0	0	0	0
Kalley Spreiter	F	Fr	23	0	1	1	0.0435	8	16	0	0	0	0
Lindsey Hibbard	G	Sr	10	0	0	0	0.0000	0	0	0	0	0	0
Brooke Pahlen	F	Fr	12	0	0	0	0.0000	1	2	0	0	0	0
Paige Press	G	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
Amanda DiNella	G	Fr	18	0	0	0	0.0000	0	0	0	0	0	0
