Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Paula Dady	LW	Jr	24	21	10	31	1.2917	3	1	1	0
Marissa Halligan	F	Fr	24	15	15	30	1.2500	4	1	0	0
Eden Self	F	So	24	7	21	28	1.1667	0	1	0	0
Emily Koren	F	Jr	24	8	7	15	0.6250	1	1	1	0
Jessica Morin	F	Fr	24	3	10	13	0.5417	0	0	0	0
Heather Hoffay	F	Jr	24	3	6	9	0.3750	0	0	0	0
Amy Becker	D	So	24	2	4	6	0.2500	0	0	0	0
Coleen MacNally	D	Fr	24	2	4	6	0.2500	0	0	0	0
Sarah Baldwin	D	So	24	1	5	6	0.2500	0	0	0	0
Nathanna Allen	RW	Jr	16	0	4	4	0.2500	0	0	0	0
Alex Koerte	F/D	So	23	0	2	2	0.0870	0	0	0	0
Jen Kroleski	G	Jr	24	0	1	1	0.0417	0	0	0	0
Meghan Murray-Merriman	F	So	20	0	1	1	0.0500	0	0	0	0
Alison Cherry	F	Jr	1	0	0	0	0.0000	0	0	0	0
Margaret Sayer	D	Sr	7	0	0	0	0.0000	0	0	0	0
