Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Katie Parkman	F	So	25	10	10	20	0.8000	9	18	3	3	1	0
Hannah Bartlett	F	Jr	25	8	3	11	0.4400	11	22	2	3	0	0
Sara Taffe	D	So	23	3	8	11	0.4783	5	10	0	1	0	0
Teal Gosselin	F	So	25	6	4	10	0.4000	11	22	0	4	0	0
Megan Ahern	F	So	25	2	7	9	0.3600	5	10	0	0	0	0
Casey Brown	F	Jr	25	2	7	9	0.3600	1	2	0	0	0	0
Mairead Carey	D	Fr	20	4	4	8	0.4000	5	10	1	0	0	0
Steph DiPietro	F	Fr	22	5	2	7	0.3182	3	6	1	1	0	0
Jade Alvillar	D/F	Fr	25	2	4	6	0.2400	3	6	0	2	0	0
Megan Fitzgerald	F	Jr	25	2	4	6	0.2400	1	2	2	0	0	0
Courtney Power	D	Sr	25	1	2	3	0.1200	2	4	0	0	0	0
Ianthe Lekometros	F	Jr	20	1	2	3	0.1500	5	10	0	0	0	0
Naomi Woolfenden	D	Jr	10	1	2	3	0.3000	0	0	1	1	0	0
Caroline Knop	D	Fr	25	0	3	3	0.1200	7	14	0	0	0	0
Maddie Carras	D	So	18	1	1	2	0.1111	10	20	0	0	0	0
Sam Walther	G	Fr	19	0	0	0	0.0000	0	0	0	0	0	0
Alex Betrus	D	Fr	20	0	0	0	0.0000	4	8	0	0	0	0
Yvonne Rondeau	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Kylie Davis	D	Fr	13	0	0	0	0.0000	0	0	0	0	0	0
Elana Van Arnam	D	So	14	0	0	0	0.0000	1	2	0	0	0	0
Rui Osaka	D	So	18	0	0	0	0.0000	0	0	0	0	0	0
Sarah Schuchardt	G	Sr	8	0	0	0	0.0000	0	0	0	0	0	0
Alycia Racicot	F	Jr	25	0	0	0	0.0000	2	4	0	0	0	0
