Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jeanne Schipper-Jobe	F	Sr	23	3	4	7	0.3043	0	1	0	0
Emily Gross	F	Jr	24	4	2	6	0.2500	0	0	0	0
Allison Rime	D	So	24	2	3	5	0.2083	0	0	0	0
Tanna Tuomie	F	So	17	2	2	4	0.2353	1	1	0	0
Heidi Spensley	F	So	24	1	3	4	0.1667	0	0	0	0
Angie Erickson	D	Sr	23	2	0	2	0.0870	1	0	0	0
Heather Olson	F	So	23	1	0	1	0.0435	0	1	0	0
Holly Wiborg	F	Fr	24	1	0	1	0.0417	0	0	0	0
Regina Voracek	D	Jr	24	1	0	1	0.0417	0	0	0	0
Andrea Davis	F	Fr	24	0	1	1	0.0417	0	0	0	0
Alysha Huberty	G	Jr	11	0	0	0	0.0000	0	0	0	0
Rene Housman	F	Fr	5	0	0	0	0.0000	0	0	0	0
Rachael Young	G	So	20	0	0	0	0.0000	0	0	0	0
Ashley Hounslow	D	Sr	23	0	0	0	0.0000	0	0	0	0
Sara Wagner	F	So	24	0	0	0	0.0000	0	0	0	0
Kyle Foley	F	Fr	20	0	0	0	0.0000	0	0	0	0
Andrea Paulson	F	So	8	0	0	0	0.0000	0	0	0	0
