Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Haley Johnson	F	So	24	7	9	16	0.6667	6	12	1	1	1	0
Alli Miller	F	Sr	24	9	6	15	0.6250	30	71	0	4	1	0
Jessica Kraus	F	Jr	24	5	4	9	0.3750	12	24	1	2	0	0
Erin Kastner	F	Jr	24	3	5	8	0.3333	26	52	0	1	0	0
Jessica Hunt	D	Fr	19	1	4	5	0.2632	12	24	1	0	0	0
Billye Nelson	D	Jr	24	1	3	4	0.1667	18	36	0	0	0	0
Rachel Deick	F	Jr	24	2	1	3	0.1250	4	8	0	1	0	0
Laura Randall	F	So	24	2	1	3	0.1250	3	6	1	0	0	0
Colleen Brigl	F	So	24	1	1	2	0.0833	9	18	0	0	0	0
Jestina Koenigsmark	D	Jr	24	0	2	2	0.0833	1	2	0	0	0	0
Megan Olson	D	Sr	24	0	2	2	0.0833	11	22	0	0	0	0
Megan Campbell	D	Fr	23	0	1	1	0.0435	1	2	0	0	0	0
Kaitlin Denton	D	Jr	24	0	1	1	0.0417	0	0	0	0	0	0
Brianna Sigg	F	Jr	24	0	1	1	0.0417	0	0	0	0	0	0
Bailey Danahy	F	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
Caitlin Nosanov	G	Fr	5	0	0	0	0.0000	1	2	0	0	0	0
Amelea Gray	G	So	8	0	0	0	0.0000	2	4	0	0	0	0
Seanna Robinson	F	Jr	24	0	0	0	0.0000	3	6	0	0	0	0
Catherine Valimont	D	Fr	23	0	0	0	0.0000	0	0	0	0	0	0
Nicole Jones	G	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
