Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Nicole Corriero	F	Jr	35	42	31	73	2.0857	10	13	3	3
Julie Chu	F	So	32	15	41	56	1.7500	3	5	0	0
Angela Ruggiero	D	Sr	32	25	30	55	1.7188	5	5	1	1
Lauren McAuliffe	F	Sr	35	17	21	38	1.0857	6	8	0	0
Jennifer Raimondi	F	So	35	14	13	27	0.7714	1	2	0	0
Ashley Banfield	D	Jr	33	3	21	24	0.7273	0	2	1	0
Katie Johnston	F	Fr	33	10	11	21	0.6364	3	2	0	0
Jennifer Sifers	F	Fr	35	7	10	17	0.4857	0	1	0	0
Caitlin Cahow	F	Fr	34	2	11	13	0.3824	0	0	0	0
Jennifer Skinner	D	So	33	2	9	11	0.3333	0	0	0	0
Katherine Sweet	F	Jr	35	7	3	10	0.2857	1	2	0	0
Liza Solley	F	Fr	35	2	6	8	0.2286	1	0	0	0
Lindsay Weaver	D	Fr	31	1	7	8	0.2581	0	0	0	0
Carrie Schroyer	F	So	35	1	6	7	0.2000	0	0	0	0
Jaclyn Pitushka	F/D	So	15	0	4	4	0.2667	0	0	0	0
Ali Crum	F	Jr	32	2	1	3	0.0938	0	0	0	0
Mina Pell	F	Sr	32	1	1	2	0.0625	0	0	0	0
Sarah Holbrook	F	Jr	31	0	1	1	0.0323	0	0	0	0
Ali Boe	G	So	27	0	0	0	0.0000	0	0	0	0
Emily Vitt	G	Fr	9	0	0	0	0.0000	0	0	0	0
Emily Haigh	D	Jr	32	0	0	0	0.0000	0	0	0	0
