Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jennifer Raimondi	F	Sr	35	12	25	37	1.0571	1	5	0	0
Jenny Brine	F	Fr	35	18	13	31	0.8857	2	9	0	0
Sarah Wilson	F	Fr	35	13	11	24	0.6857	3	7	0	1
Liza Solley	F	Jr	35	11	11	22	0.6286	5	1	1	0
Katie Johnston	F	Jr	34	7	14	21	0.6176	1	4	1	0
Jennifer Sifers	F	Jr	35	11	8	19	0.5429	2	2	0	0
Lindsay Weaver	D	Jr	35	2	16	18	0.5143	0	1	0	1
Laura Brady	F	So	35	4	11	15	0.4286	1	1	0	0
Carrie Schroyer	F	Sr	35	6	6	12	0.3429	1	1	1	1
Adrienne Bernakevitch	F	So	35	3	7	10	0.2857	1	1	0	0
Jessica MacKenzie	D	So	31	1	5	6	0.1935	1	0	0	0
Kati Vaughn	D	Fr	35	0	6	6	0.1714	0	0	0	0
Nora Sluzas	F/D	Fr	35	0	4	4	0.1143	0	0	0	0
Jodi Krakower	F	Fr	35	1	1	2	0.0571	0	0	0	0
Kirsten Kester	F	Fr	35	1	1	2	0.0571	0	0	0	0
Lauren Herrington	D	Fr	35	1	1	2	0.0571	0	0	0	0
Brenna McLean	D	So	35	0	0	0	0.0000	0	0	0	0
Ali Boe	G	Sr	28	0	0	0	0.0000	0	0	0	0
Brittany Martin	G	Fr	6	0	0	0	0.0000	0	0	0	0
Emily Vitt	G	Jr	1	0	0	0	0.0000	0	0	0	0
