Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Sarah Vaillancourt	F	Jr	33	25	34	59	1.7879	16	32	6	6	3	1
Jenny Brine	F	Jr	33	20	22	42	1.2727	9	18	3	12	0	0
Caitlin Cahow	D	Sr	33	14	22	36	1.0909	20	40	6	11	0	0
Sarah Wilson	F	Jr	33	14	13	27	0.8182	0	0	2	6	0	0
Liza Ryabkina	F	Fr	33	10	16	26	0.7879	14	28	3	2	0	0
Katharine Chute	F	Fr	33	8	10	18	0.5455	4	8	4	1	0	0
Kate Buesser	F	Fr	33	6	10	16	0.4848	7	14	3	3	0	0
Anna McDonald	F	So	32	7	8	15	0.4688	7	25	1	0	1	0
Kati Vaughn	D	Jr	33	3	12	15	0.4545	9	18	1	3	0	0
Kathryn Farni	D	So	32	2	5	7	0.2188	13	26	0	1	0	0
Cori Bassett	F/D	So	33	2	3	5	0.1515	8	16	0	1	0	0
Leanna Coskren	D	Fr	33	0	5	5	0.1515	8	27	0	0	0	0
Randi Griffin	F	So	33	4	0	4	0.1212	6	12	1	0	0	1
Deborah Conway	F	Fr	32	1	3	4	0.1250	3	6	1	0	0	0
Jen Brawn	F	So	25	1	0	1	0.0400	0	0	0	0	0	0
Christina Kessler	G	So	31	0	1	1	0.0323	1	2	0	0	0	0
Nora Sluzas	F/D	Jr	25	0	0	0	0.0000	7	14	0	0	0	0
Laura Brady	F	Sr	1	0	0	0	0.0000	1	2	0	0	0	0
Kylie Stephens	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Brenna McLean	D	Sr	33	0	0	0	0.0000	1	2	0	0	0	0
Brittany Martin	G	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Jessica MacKenzie	D	Sr	5	0	0	0	0.0000	0	0	0	0	0	0
Kirsten Kester	F	Jr	33	0	0	0	0.0000	0	0	0	0	0	0
Ashley Wheeler	D	Fr	4	0	0	0	0.0000	1	2	0	0	0	0
