Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kate Buesser	F	Jr	33	16	24	40	1.2121	7	14	1	2	0	1
Jillian Dempsey	F	Fr	33	11	16	27	0.8182	6	12	1	3	1	1
Liza Ryabkina	F/D	Jr	24	15	7	22	0.9167	12	24	4	5	0	0
Randi Griffin	F	Sr	33	11	10	21	0.6364	14	28	4	7	0	0
Leanna Coskren	D	Jr	33	8	11	19	0.5758	7	14	3	4	0	0
Cori Bassett	D	Sr	33	4	15	19	0.5758	13	26	1	1	0	0
Anna McDonald	F	Sr	33	6	11	17	0.5152	11	22	1	1	0	0
Kathryn Farni	D	Sr	33	1	15	16	0.4848	10	20	0	1	0	0
Josephine Pucci	D	Fr	31	4	9	13	0.4194	10	20	0	1	0	0
Kaitlin Spurling	F	Fr	33	9	3	12	0.3636	8	16	4	1	0	0
Katharine Chute	F	Jr	33	5	5	10	0.3030	9	18	0	0	0	0
Kelsey Romatoski	D	Fr	23	1	7	8	0.3478	4	8	0	0	0	0
Ashley Wheeler	D	Jr	33	2	3	5	0.1515	13	26	1	0	0	0
Margaret Chute	F	Fr	33	1	3	4	0.1212	0	0	0	0	0	0
Alisa Baumgartner	F	So	33	0	2	2	0.0606	6	12	0	0	0	0
Deborah Conway	F	Jr	31	0	2	2	0.0645	2	4	0	0	0	0
Christina Kessler	G	Sr	15	0	0	0	0.0000	0	0	0	0	0	0
Hilary Hayssen	D	Fr	33	0	0	0	0.0000	6	12	0	0	0	0
Kylie Stephens	G	Jr	3	0	0	0	0.0000	0	0	0	0	0	0
Laura Bellamy	G	Fr	18	0	0	0	0.0000	0	0	0	0	0	0
