Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kolt Bloxson	F	Fr	25	26	21	47	1.8800	7	2	2	1
Sarah Wetherbee	F	Fr	25	24	23	47	1.8800	1	4	1	0
Kathleen Remsberg	F	Fr	25	18	22	40	1.6000	2	4	1	0
Meghan Mahoney	D	So	25	9	14	23	0.9200	2	0	1	0
Erin Williams	D	Sr	25	5	9	14	0.5600	1	0	0	0
Elizabeth Campbell	D	Jr	25	3	7	10	0.4000	0	0	0	0
Dara Reppucci	D	Jr	25	6	3	9	0.3600	2	0	0	0
Molly Corkery	F	So	25	4	4	8	0.3200	1	0	0	0
Caitlin Andrew	D	Jr	18	0	8	8	0.4444	0	0	0	0
Rachelle Beaudoin	F	Jr	25	3	4	7	0.2800	0	1	1	0
Lindsey Jean	D	Jr	25	1	3	4	0.1600	1	0	0	0
Kimberly Scinto	F	So	25	0	4	4	0.1600	0	0	0	0
Amy Canning	F	Fr	25	0	3	3	0.1200	0	0	0	0
Allison Hogan	D	Jr	9	1	1	2	0.2222	0	0	0	0
Jenelle DiSanto	G	Sr	25	0	2	2	0.0800	0	0	0	0
Jennifer Corsilli	G	Jr	3	0	0	0	0.0000	0	0	0	0
