Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stacey Hochkins	F	So	26	26	18	44	1.6923	17	34	5	6	2	1
Jocelyn Kratchmer	LW	Jr	26	18	17	35	1.3462	19	38	4	4	3	0
Lisa Wilson	D	Sr	26	7	20	27	1.0385	15	30	1	3	1	1
Caroline English	F	Fr	26	7	18	25	0.9615	5	10	3	1	0	0
Nicola Garat	F	So	26	16	4	20	0.7692	7	14	1	2	1	1
Rebecca O'Quinn	F	Fr	26	2	12	14	0.5385	7	14	0	1	0	0
Emily Henry	D	Jr	26	4	9	13	0.5000	14	28	1	0	1	0
Katelyn Doherty	D	Sr	26	2	11	13	0.5000	15	30	1	2	0	0
Christina D'Ambrogio	F	Jr	26	7	3	10	0.3846	6	12	1	2	0	0
Wendy Nobrega	F	Sr	26	4	5	9	0.3462	7	14	0	0	0	0
Kathryn O'Connor	F	Sr	26	5	3	8	0.3077	7	14	2	1	0	0
Colleen Krmpotich	D	Jr	26	1	6	7	0.2692	5	10	0	0	0	0
Kathryn Kelley	F	Sr	25	4	2	6	0.2400	9	18	0	0	0	0
Meghan Reynolds	F	Fr	26	1	2	3	0.1154	1	2	1	0	0	0
Amy Pfund	F	So	26	1	0	1	0.0385	5	10	0	0	0	0
Mariah Napolitano	D	Fr	26	0	1	1	0.0385	3	6	0	0	0	0
Monique Gallant	G	Jr	15	0	0	0	0.0000	0	0	0	0	0	0
Alyssa Ruhland	F	Fr	26	0	0	0	0.0000	4	8	0	0	0	0
Carly Dominick-Sobol	G	So	12	0	0	0	0.0000	0	0	0	0	0	0
