Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Katherine Mason	F	Fr	26	11	8	19	0.7308	9	18	1	0	1	0
Casey Chodkowski	F	So	26	8	10	18	0.6923	2	4	1	2	0	0
Kathy Ensor	F	So	26	4	11	15	0.5769	6	12	2	0	2	0
Alexis Harle	F	So	22	9	5	14	0.6364	21	42	3	2	2	0
Julia Martinsson	F	Fr	17	7	3	10	0.5882	7	14	0	2	0	0
Cassie Wakefield	F	Fr	25	5	3	8	0.3200	3	6	0	0	0	0
Molly Gray	D	So	26	3	4	7	0.2692	4	8	1	1	0	0
Victoria Perez	F	So	26	1	4	5	0.1923	12	24	0	0	0	0
Samantha Kawejsza	F	Fr	26	1	3	4	0.1538	11	22	0	0	0	0
Summer Britton	F	So	26	0	4	4	0.1538	1	2	0	0	0	0
Tamara Bowden	D	So	26	0	4	4	0.1538	19	46	0	0	0	0
Cassidy Simanski	D	Fr	26	0	3	3	0.1154	7	14	0	0	0	0
Caitlin Sweet	F	So	26	1	1	2	0.0769	3	6	1	1	0	0
Linn Fernström	D	Fr	19	0	2	2	0.1053	7	14	0	0	0	0
Tilda Ekström	D	Fr	24	1	0	1	0.0417	10	20	0	0	0	0
Kami Weiner	G	Jr	11	0	0	0	0.0000	0	0	0	0	0	0
Julia Åberg	G	Fr	16	0	0	0	0.0000	2	12	0	0	0	0
Taylor Duquette	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Taylor Davis	F/D	Fr	22	0	0	0	0.0000	15	41	0	0	0	0
