Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Courtney DeHoey	F	Jr	25	16	15	31	1.2400	2	5	4	0
Laura Wilson	D	Jr	23	15	9	24	1.0435	4	7	2	1
Katie Snowden	F	Sr	25	9	13	22	0.8800	2	2	0	0
Allison Rushing	D	Jr	25	7	12	19	0.7600	1	6	0	0
Jen Clouthier	F	Jr	12	5	5	10	0.8333	2	0	0	0
Maggie Bresser	F	Fr	25	4	5	9	0.3600	0	1	0	0
Kerry Gotowka	D	Jr	24	2	4	6	0.2500	0	1	0	0
Courtney Bean	D	Fr	25	2	3	5	0.2000	0	2	0	0
Michelle Ricketts	F	Sr	18	2	2	4	0.2222	0	0	0	0
Brita Irving	D	Fr	23	0	4	4	0.1739	0	0	0	0
Sam Pinsonneault	F	Fr	24	2	1	3	0.1250	0	0	0	0
Megan Patrick	F	Fr	16	1	2	3	0.1875	0	0	0	0
Jamie Sauer	D	Fr	23	0	3	3	0.1304	0	0	0	0
Carolyn Thiess	D	Fr	15	0	3	3	0.2000	0	0	0	0
Amalia Vriend	D	Jr	24	0	3	3	0.1250	0	0	0	0
Devin McGuire	F	Jr	25	2	0	2	0.0800	0	0	0	0
Samantha LePicier	F	Fr	23	0	1	1	0.0435	0	0	0	0
Jaclyn Widmaier	F	Fr	2	0	0	0	0.0000	0	0	0	0
Ryann McCarthy	G	Fr	13	0	0	0	0.0000	0	0	0	0
Naomi Paterson	F	Fr	19	0	0	0	0.0000	0	0	0	0
Kelsey Finn	D	Fr	8	0	0	0	0.0000	0	0	0	0
Sally Bevis	G	Sr	15	0	0	0	0.0000	0	0	0	0
Nicole Murphy	F	Fr	16	0	0	0	0.0000	0	0	0	0
