Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Melissa Kravich	F	So	28	8	20	28	1.0000	4	8	2	5	0	0
Courtney Bean	D	Jr	28	4	19	23	0.8214	21	42	1	3	0	0
Kim Herring	F	Fr	23	14	6	20	0.8696	1	2	1	8	0	0
Sam Herron	F	So	27	9	7	16	0.5926	7	14	1	3	1	0
Lynn Switaj	F	So	27	7	9	16	0.5926	9	18	1	0	0	0
Mira Trebilcock	F	Fr	28	8	7	15	0.5357	12	24	2	5	0	0
Jessica Dare	F	Fr	28	4	8	12	0.4286	18	36	0	2	0	0
Jamie Sauer	D	Jr	28	1	9	10	0.3571	15	30	0	1	0	0
Molly Wallner	D	Fr	28	2	3	5	0.1786	11	22	2	0	0	0
Sarah Sveen	F	Fr	27	3	0	3	0.1111	1	2	1	1	0	0
Meghan Fosth	D	Fr	11	3	0	3	0.2727	5	10	0	2	0	0
Sam LePicier	F	So	9	2	1	3	0.3333	1	2	0	0	0	0
Sam Pinsonneault	F	Jr	28	2	1	3	0.1071	8	16	1	0	0	0
Naomi Paterson	F	Jr	27	2	0	2	0.0741	6	12	0	0	0	0
Lauren Rogalsky	F	Fr	26	1	1	2	0.0769	8	16	0	0	0	0
Kelly Smith	F	So	27	0	2	2	0.0741	10	20	0	0	0	0
Samantha Hersey	F	Fr	27	1	0	1	0.0370	4	8	0	0	0	0
Alyssa Wintermute	G	So	23	0	0	0	0.0000	0	0	0	0	0	0
Carolyn Thiess	D	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Brittany Lemke	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
