Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Nicole Lloyd	F	Jr	19	9	4	13	0.6842	4	8	2	3	1	0
Liz D'Ginto	F	Fr	17	7	4	11	0.6471	7	14	1	2	0	0
Eleanor Donaher	F	Fr	21	4	7	11	0.5238	12	24	0	0	0	0
MacKenzie Bokina	F	Fr	21	5	5	10	0.4762	14	28	0	1	0	0
Savannah Knoble	F	Fr	12	4	1	5	0.4167	9	26	1	1	1	0
Taylor Borrelli	D	Fr	19	1	2	3	0.1579	5	10	0	1	0	0
Elaine Tarasiewicz	D	Fr	21	1	2	3	0.1429	17	34	0	0	0	0
Madison Humes	F	Fr	20	0	3	3	0.1500	7	14	0	0	0	0
Brenna Smith	D	Fr	11	0	2	2	0.1818	0	0	0	0	0	0
Victoria ByDeley	F/G	So	15	0	1	1	0.0667	1	2	0	0	0	0
Rachel Havrylkoff	G/F	Fr	19	0	1	1	0.0526	1	2	0	0	0	0
Priscilla Orr	F	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Jillian Moffat	G	Fr	20	0	0	0	0.0000	0	0	0	0	0	0
Alexa Kanakry	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Victoria Lahey	G/F	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
