Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jordyn Constance	F	Sr	33	14	13	27	0.8182	4	8	1	4	0	0
Shara Jasper	F	Jr	33	11	16	27	0.8182	22	44	1	2	0	1
Katie Erickson	F	Sr	33	4	12	16	0.4848	17	34	1	1	0	0
Lyndsay Kirkham	F	Jr	33	9	5	14	0.4242	8	16	1	2	0	1
Alyssa West	F	Sr	25	4	9	13	0.5200	11	22	2	1	0	0
Britannia Gillanders	F	Fr	33	4	5	9	0.2727	14	28	2	1	0	1
Holly Dietzler	F	So	33	4	2	6	0.1818	2	4	0	1	0	0
Carrie Atkinson	D	So	31	3	3	6	0.1935	16	32	0	0	1	1
Sarah Bobrowski	F	Fr	29	0	5	5	0.1724	3	6	0	0	0	0
Tae Otte	D	Fr	33	0	4	4	0.1212	10	20	0	0	0	0
Darby Dodds	F	Fr	32	1	2	3	0.0938	10	20	0	0	0	0
Brooke Peden	D	Jr	33	1	2	3	0.0909	9	18	1	0	0	0
Katie Nokelby	D	So	28	1	2	3	0.1071	4	8	0	0	0	0
Leah Elledge	F	So	9	1	1	2	0.2222	2	4	1	0	0	0
Emily Gunderson	F	Fr	30	0	2	2	0.0667	5	10	0	0	0	0
Saville Pickar	F	So	28	0	1	1	0.0357	0	0	0	0	0	0
Rachel Weich	D	Jr	30	0	1	1	0.0333	5	10	0	0	0	0
Sarah McGall	G	So	6	0	0	0	0.0000	0	0	0	0	0	0
Caitlyn Post	F	Sr	2	0	0	0	0.0000	0	0	0	0	0	0
Nicole Rash	F	So	28	0	0	0	0.0000	0	0	0	0	0	0
Xylia Lang	D	Fr	32	0	0	0	0.0000	3	6	0	0	0	0
Nicole Hensley	G	Jr	30	0	0	0	0.0000	0	0	0	0	0	0
