Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Vanessa Vani	F	So	31	11	15	26	0.8387	2	2	0	0
Sonia Corriveau	F	Sr	31	15	9	24	0.7742	1	5	0	0
Brigitte Laflamme	F	Sr	31	10	13	23	0.7419	2	6	0	0
Robyn Law	F	So	28	9	10	19	0.6786	1	3	0	0
Katie Sunstrum	F	Sr	30	7	8	15	0.5000	0	3	0	0
Kelly Law	D	Sr	31	4	10	14	0.4516	0	3	0	0
Taryn Peacock	F	Fr	30	8	4	12	0.4000	1	3	0	0
Jenna Ouellette	F	Fr	31	6	6	12	0.3871	0	2	0	0
Pam Patterson	F	Jr	31	6	5	11	0.3548	2	0	1	1
Elyce Thomas	D	Fr	30	0	10	10	0.3333	0	0	0	0
Jenna Cowan	F	Jr	27	2	6	8	0.2963	0	1	0	0
Chantal Jaillet	D	So	31	1	5	6	0.1935	0	0	0	0
Abby Barton	F	Fr	30	1	4	5	0.1667	0	0	0	0
Kim Meagher	D	Jr	31	1	3	4	0.1290	1	1	0	0
Amy Stech	F	Fr	31	1	2	3	0.0968	0	0	0	0
Genevieve Turgeon	G	So	22	0	1	1	0.0455	0	0	0	0
Karine Senecal	D	Sr	31	0	1	1	0.0323	0	0	0	0
Lundy Day	G	So	3	0	0	0	0.0000	0	0	0	0
Kim MacElhaney	F	Sr	2	0	0	0	0.0000	0	0	0	0
Rachel Gettings	G	Sr	9	0	0	0	0.0000	0	0	0	0
