Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Audra Richards	F	So	31	15	3	18	0.5806	8	16	3	3	0	1
Brianne Kilgour	F	Sr	31	7	8	15	0.4839	7	14	1	2	0	0
Karissa Kirkup	F	Fr	30	5	8	13	0.4333	4	8	0	1	0	1
Kelly McDonald	D	Sr	29	4	8	12	0.4138	7	14	1	0	0	0
Hailey Browne	F	Jr	30	3	7	10	0.3333	19	49	0	1	0	1
Jennifer More	F	Jr	31	2	7	9	0.2903	9	18	0	0	0	0
Emilie Brigham	F	Fr	32	5	3	8	0.2500	2	4	0	0	0	0
Brittany Huneke	D	Jr	30	2	5	7	0.2333	6	12	0	1	0	0
Kayla Kaluzny	F/D	Sr	30	2	5	7	0.2333	6	12	0	0	0	0
Brooklyn Langlois	D	So	32	1	6	7	0.2188	11	22	0	0	0	0
Abbey Cook	F	So	30	3	2	5	0.1667	4	8	0	0	0	0
Missy Denk	F	Sr	22	2	3	5	0.2273	2	4	1	0	0	0
Kelsey MacSorley	D	So	30	1	4	5	0.1667	10	20	0	0	0	0
Jess Vallotton	D	Fr	27	1	4	5	0.1852	5	10	0	1	0	0
Eve Boissonneault	F	Fr	24	2	2	4	0.1667	2	4	0	2	0	0
Kristin Gilmour	D	Fr	18	2	2	4	0.2222	6	12	0	2	0	0
Katy Massey	F	Jr	32	2	2	4	0.1250	4	8	0	0	0	0
Shawna Lesperance	F	So	28	2	2	4	0.1429	1	2	1	1	0	1
Jillian Langtry	F	So	25	1	3	4	0.1600	2	4	0	0	0	0
Jessica Hall	D	Jr	12	0	1	1	0.0833	2	4	0	0	0	0
Natalie Robinson	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Meghann Treacy	G	Jr	27	0	0	0	0.0000	0	0	0	0	0	0
Morgan Sakundiak	F	Fr	11	0	0	0	0.0000	2	4	0	0	0	0
Mariah Fujimagari	G	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
Anna Wright	D	Fr	10	0	0	0	0.0000	1	2	0	0	0	0
