Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jennifer Mulick	F/D	So	30	22	24	46	1.5333	2	2	1	0
Amy Quirion	F	Fr	29	19	23	42	1.4483	3	2	0	0
Cherie Stewart	F	So	29	19	22	41	1.4138	4	3	0	0
Jessica Temesy	F	Fr	31	16	24	40	1.2903	3	0	1	0
Kristin Sahlem	F	Sr	31	21	18	39	1.2581	5	2	1	0
Amanda Zimecki	F	Jr	29	15	23	38	1.3103	1	2	0	0
Nicole Blais	F	So	30	17	19	36	1.2000	3	1	0	0
Ali Annunziato	F	Jr	30	9	22	31	1.0333	1	2	0	0
Jami Grasby	F	Fr	27	13	10	23	0.8519	2	0	1	0
Melissa Hawkins	F	Jr	30	8	13	21	0.7000	0	0	0	0
Ashley Trimble	D	Fr	30	4	14	18	0.6000	0	1	0	0
Kim Hayden	D	So	30	6	11	17	0.5667	0	0	0	0
Jesse Garner	F	Fr	25	6	6	12	0.4800	0	0	0	0
Lindsey Paulsrud	F	Sr	26	5	6	11	0.4231	2	0	0	0
Erin McAllister	F	Fr	19	4	6	10	0.5263	0	0	0	0
Lindsey Dorval	F	Sr	13	3	6	9	0.6923	1	0	0	0
Nicole Stephens	D	Sr	30	2	6	8	0.2667	0	0	0	0
Melanie Grover	F	Jr	13	4	2	6	0.4615	0	0	0	0
Heidi Boulanger	F	Fr	24	2	4	6	0.2500	0	0	0	0
Lisa-Marie Simard	D	Fr	22	1	3	4	0.1818	0	0	0	0
Kelli Garcia	F	Fr	6	1	2	3	0.5000	0	0	0	0
Meredith Callinan	F	Jr	23	1	1	2	0.0870	0	0	0	0
Nicole Elliott	G	So	15	0	0	0	0.0000	0	0	0	0
Renee Kirnan	G	Jr	14	0	0	0	0.0000	0	0	0	0
Katie Alexander	G	Sr	5	0	0	0	0.0000	0	0	0	0
