Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Holly Nonis	F	So	27	18	23	41	1.5185	2	4	4	4	2	0
Alex Blackwell	F	Sr	27	17	15	32	1.1852	21	42	5	9	1	0
Monique Rafferty	F	Jr	27	14	16	30	1.1111	2	4	0	7	1	0
Shannon Coffey	F	So	26	14	11	25	0.9615	4	8	4	6	0	0
Natalie Zitek	F	Sr	27	12	12	24	0.8889	5	10	3	5	0	0
Erin Brawley	D	Sr	26	4	13	17	0.6538	15	30	0	2	0	0
Alex Findlay	D	Jr	27	4	12	16	0.5926	13	26	0	2	0	0
Sarah Fullerton	F/D	Jr	27	7	7	14	0.5185	15	30	2	1	1	1
Jackie Solomito	F	Fr	19	4	8	12	0.6316	7	14	2	1	0	0
Erica Garcia	D	So	20	1	11	12	0.6000	12	24	0	1	0	0
Brianne Alfred	F	Fr	22	7	4	11	0.5000	5	10	0	1	0	0
Jess Scioli	F	So	27	4	3	7	0.2593	11	22	0	0	0	0
Michele Wieczorek	F	Fr	27	3	4	7	0.2593	2	4	0	0	1	0
Hannah Muskego	D	Fr	27	0	6	6	0.2222	10	20	0	0	0	0
Michelle Kaufman	F	So	20	2	1	3	0.1500	1	2	0	0	0	0
Jena Danzig	D	Sr	27	1	1	2	0.0741	8	16	0	1	0	0
Jaime Bonner	F/D	Fr	22	1	1	2	0.0909	6	12	0	0	0	0
Jen Ascencio	F	So	25	1	1	2	0.0800	1	2	0	0	0	0
Alicia Michonski	D	Fr	8	0	1	1	0.1250	2	4	0	0	0	0
Heather Massaroni	D	Fr	19	0	0	0	0.0000	3	6	0	0	0	0
Kimmy Flanders	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Sophia Kokkonis	G	Jr	9	0	0	0	0.0000	0	0	0	0	0	0
Karine Turmel	G	Sr	18	0	0	0	0.0000	0	0	0	0	0	0
