Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jordan Roetzer	F	Fr	26	8	6	14	0.5385	7	14	1	4	0	0
Kyra Herbert	F	Sr	26	9	4	13	0.5000	4	16	2	2	0	0
Katherine Reilly	F	Fr	26	7	6	13	0.5000	9	18	0	2	1	0
Karly Kapur	D	So	26	1	11	12	0.4615	9	18	1	0	0	0
Kayley Romano	F	Jr	26	2	8	10	0.3846	4	8	0	1	0	0
Cassandra Kent	F	So	26	5	4	9	0.3462	2	4	1	0	0	0
Sarah Sinning	F	So	18	4	4	8	0.4444	12	24	1	1	0	1
Jennifer Machin	F	So	25	5	2	7	0.2800	2	4	0	0	0	0
Melissa Stys	F	So	26	2	5	7	0.2692	9	18	0	0	0	0
Kristi Peters	D	So	25	2	5	7	0.2800	4	8	2	0	0	0
Maeve O'Brien	D	So	26	1	6	7	0.2692	4	8	0	0	0	0
Lindsay Diot	F/D	Jr	26	2	4	6	0.2308	3	6	0	0	0	0
Ellis Smith	D	Fr	25	0	6	6	0.2400	4	8	0	0	0	0
Taryn Harris	D	Jr	24	4	1	5	0.2083	15	30	0	2	1	0
Morgan Wilm	F	Fr	25	1	2	3	0.1200	2	4	0	0	0	0
Melissa Hauptman	F/D	Sr	26	0	3	3	0.1154	1	2	0	0	0	0
Mónika Molnár	D	So	22	0	2	2	0.0909	4	8	0	0	0	0
Lillie Ryan	F	Fr	11	1	0	1	0.0909	1	2	1	0	0	0
Rose Pijaca	G	Fr	15	0	1	1	0.0667	0	0	0	0	0	0
Megan Messuri	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Nicole Dudjak	D	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
Olivia Drew	G	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
Alexandra Pedatella	F	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
Alana Lopez	F	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
