Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Ally Fox	F	Fr	27	13	9	22	0.8148	13	26	2	2	2	0
Emily Everson	F	Sr	27	8	9	17	0.6296	10	20	0	2	0	0
Hailey Miller	F	So	27	9	6	15	0.5556	6	12	2	2	0	0
Rian Lennon	D	Sr	26	4	9	13	0.5000	6	12	1	1	0	0
Sarah Bier	D	Sr	27	6	5	11	0.4074	12	24	1	0	0	0
Alexis Peterson	F	So	27	2	5	7	0.2593	7	14	0	1	0	0
Abbey Dokken	F	So	23	5	1	6	0.2609	9	18	0	0	0	0
Hannah Koniar	D	Fr	26	3	3	6	0.2308	22	44	2	0	0	0
Paige Johnson	F	Jr	27	3	3	6	0.2222	9	18	1	2	0	0
Sheila Blower	F	So	27	1	5	6	0.2222	5	10	1	0	0	0
Nicole Niemi	D	So	25	0	5	5	0.2000	15	30	0	0	0	0
Ellie Deans	D	Jr	21	0	5	5	0.2381	3	6	0	0	0	0
Morgan Bolin	F	Fr	22	3	1	4	0.1818	4	8	0	2	0	0
Jill Schneider	F	So	27	1	3	4	0.1481	15	41	0	1	0	0
Jessie Meluch	F	Sr	23	1	3	4	0.1739	4	8	0	1	0	0
Paige Picard	D	Sr	27	1	2	3	0.1111	4	8	0	0	0	0
Amanda Siiro	D	Sr	27	0	1	1	0.0370	2	4	0	0	0	0
Maddy Dixon	G	Sr	8	0	0	0	0.0000	0	0	0	0	0	0
Lindsey Strainis	G	So	21	0	0	0	0.0000	1	2	0	0	0	0
