Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Teresa Marchese	F	Jr	35	12	25	37	1.0571	4	4	0	0
Samantha Shirley	F	So	36	16	20	36	1.0000	1	2	0	3
Stefanie Bourbeau	F	Fr	36	12	8	20	0.5556	2	4	0	1
Chrissy Yule	F	Jr	36	9	11	20	0.5556	3	3	0	0
Jackie Jarrell	F	Fr	36	10	9	19	0.5278	2	0	0	0
Sara McDonald	F	Jr	36	8	11	19	0.5278	4	1	1	1
Lindsay Dellow	F	Jr	36	7	10	17	0.4722	0	1	0	0
Michelle Bonello	D	Fr	36	5	12	17	0.4722	2	4	0	0
Danielle Lansing	D	So	36	3	13	16	0.4444	0	2	0	1
Lyndsay Barch	F	Sr	35	6	8	14	0.4000	0	1	0	0
Julia Colizza	F	Fr	36	6	5	11	0.3056	2	3	0	0
Ashley Pendleton	D	Fr	36	4	7	11	0.3056	2	2	0	0
Britney Millar	F/D	Sr	36	2	7	9	0.2500	2	2	0	0
Jill Nugent	D	Fr	36	2	5	7	0.1944	0	0	0	0
Jessica Dillabough	F	Sr	35	2	4	6	0.1714	1	1	0	0
Aimee Collins	D	So	35	2	3	5	0.1429	0	0	0	0
Sarah Kurth	F	Fr	19	2	3	5	0.2632	0	0	0	0
Justine Jackson	F	Fr	14	1	1	2	0.1429	1	0	0	0
Desirae Clark	G	Jr	36	0	1	1	0.0278	0	0	0	0
Rachelle Haight	D	Jr	13	0	0	0	0.0000	0	0	0	0
Shivaun Siegl	G	So	3	0	0	0	0.0000	0	0	0	0
Lesley McArthur	D	Fr	29	0	0	0	0.0000	0	0	0	0
