Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Emily Janiga	F	Jr	35	27	18	45	1.2857	28	56	5	11	0	4
Jenna Dingeldein	F	Jr	35	18	17	35	1.0000	21	42	7	5	3	3
Sarah Robello	F	Fr	35	7	21	28	0.8000	9	18	3	2	0	0
Molly Byrne	D	Sr	35	3	21	24	0.6857	15	30	1	2	0	0
Shelby Bram	F	Sr	35	8	14	22	0.6286	21	42	1	2	2	1
J'nai Mahadeo	D	Jr	35	3	16	19	0.5429	8	16	0	2	0	0
Hannah Bale	F	Jr	35	6	9	15	0.4286	5	10	1	0	1	0
Megan Whiddon	F	So	34	6	5	11	0.3235	4	8	1	4	0	0
Lauren Kilroy	D	Jr	35	1	7	8	0.2286	14	28	0	0	0	0
Jennifer MacAskill	F	Fr	34	3	4	7	0.2059	3	6	0	0	0	0
Taylor Accursi	F	So	23	3	4	7	0.3043	5	10	1	0	0	0
Jaclyn Arbour	F	Jr	26	2	4	6	0.2308	2	4	2	0	0	0
Jillian Skinner	D	So	31	2	4	6	0.1935	3	6	0	0	0	1
Caroline Luczak	D	Sr	31	1	5	6	0.1935	10	31	0	1	0	0
Kirsten Miller	F	Fr	34	1	5	6	0.1765	5	10	0	0	0	0
Kathy Donohue	F	Jr	34	0	6	6	0.1765	9	29	0	0	0	0
Brooke Hartwick	F	Fr	35	2	2	4	0.1143	11	22	0	0	0	0
Callie Paddock	D	Fr	35	1	2	3	0.0857	2	4	0	0	0	0
Paige Horton	D	So	28	2	0	2	0.0714	6	12	1	2	0	0
Amanda Makela	G	Sr	31	0	0	0	0.0000	0	0	0	0	0	0
Jessica Convery	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Julia DiTondo	G	Jr	6	0	0	0	0.0000	0	0	0	0	0	0
