Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Rachael Smith	F	Fr	34	11	18	29	0.8529	8	16	1	2	0	0
Jenna Dingeldein	F	Sr	35	14	12	26	0.7429	18	44	4	3	0	4
Emily Janiga	F	Sr	32	11	13	24	0.7500	14	28	1	3	3	1
Brooke Hartwick	F	So	35	10	8	18	0.5143	14	28	2	3	0	0
Sarah Hine	F	Fr	34	4	11	15	0.4412	12	35	1	2	0	0
Megan Whiddon	F	Jr	29	6	8	14	0.4828	3	6	2	2	0	0
J'nai Mahadeo	D	Sr	35	3	11	14	0.4000	14	28	0	3	0	0
Paige Horton	D	Jr	26	2	12	14	0.5385	3	6	0	2	0	0
Molly Blasen	D	Fr	28	3	10	13	0.4643	6	12	0	1	0	0
Sarah Robello	F	So	24	6	6	12	0.5000	10	31	2	2	0	0
Hannah Bale	F	Sr	35	5	7	12	0.3429	4	8	1	0	0	1
Lauren Kilroy	D	Sr	35	1	10	11	0.3143	19	38	1	1	0	0
Jaclyn Arbour	F	Sr	34	4	5	9	0.2647	7	25	2	0	0	2
Jennifer MacAskill	F	So	34	3	4	7	0.2059	16	43	0	0	0	0
Taylor Accursi	F	Jr	28	3	2	5	0.1786	6	12	1	0	0	0
Jillian Skinner	D	Jr	25	1	4	5	0.2000	4	8	0	0	0	0
Kathy Donohue	F	Sr	30	1	4	5	0.1667	1	2	1	0	0	0
Morgan Stacey	F	Fr	33	0	5	5	0.1515	10	20	0	0	0	0
Samantha Fieseler	D	Fr	34	4	0	4	0.1176	17	34	0	0	0	0
Sarah McDonnell	G	Fr	29	0	1	1	0.0345	0	0	0	0	0	0
Kerri St. Denis	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Lea Boreland	F	Fr	15	0	0	0	0.0000	1	2	0	0	0	0
Callie Paddock	D	So	12	0	0	0	0.0000	4	8	0	0	0	0
Jessica Convery	G	So	8	0	0	0	0.0000	0	0	0	0	0	0
