Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Paige Voight	F	Fr	34	11	8	19	0.5588	7	14	1	3	1	0
Katelyn Rae	F	Fr	34	8	10	18	0.5294	4	8	1	2	1	0
Paige Sorensen	D	Fr	34	7	11	18	0.5294	13	26	1	4	0	0
Jackie Pieper	F	Fr	34	6	5	11	0.3235	4	8	1	5	1	0
Dominique Kremer	D	Fr	34	2	9	11	0.3235	3	6	0	2	0	0
Madison Morey	F	Fr	34	3	6	9	0.2647	3	6	0	1	0	0
Baye Flanagan	D	Fr	34	2	7	9	0.2647	2	4	0	1	0	0
Emily Volpe	F	Fr	28	3	4	7	0.2500	0	0	0	1	0	0
Jessica Bonfe	F	Fr	34	3	4	7	0.2059	14	28	0	0	0	0
Marie Delarbre	F	Jr	31	4	1	5	0.1613	7	14	1	1	0	0
Felila Manu	D	Fr	34	2	3	5	0.1471	13	26	0	1	0	0
Beatrice Dufour	D	Fr	29	1	2	3	0.1034	6	12	0	0	0	0
Meghan Martin	D	Fr	33	1	2	3	0.0909	1	2	0	0	0	0
Annie Boeckers	F	Fr	21	2	0	2	0.0952	2	4	0	0	0	0
Allison Sexton	F	Fr	29	1	1	2	0.0690	11	22	0	0	0	0
Jessica Kuhlman	F	Fr	34	1	1	2	0.0588	6	12	0	0	0	0
Jillian Battista	F	Fr	34	0	2	2	0.0588	3	6	0	0	0	0
Samantha Saulnier	F	Fr	33	0	0	0	0.0000	0	0	0	0	0	0
Samantha Ridgewell	G	Fr	28	0	0	0	0.0000	0	0	0	0	0	0
Kate Kowalchuk	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Chaislyn Burgio	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
