Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Mikyla Grant-Mentis	F	Fr	35	9	18	27	0.7714	10	20	3	0	0	0
Paige Voight	F	So	36	15	11	26	0.7222	21	42	0	2	0	0
Katelyn Rae	F	So	36	18	7	25	0.6944	6	12	1	8	1	3
Jessica Bonfe	F	So	36	10	7	17	0.4722	13	26	2	4	0	0
Annie Boeckers	F	So	36	7	10	17	0.4722	4	8	0	1	0	0
Allison Sexton	F	So	36	5	10	15	0.4167	16	32	0	0	0	0
Dominique Kremer	D	So	34	4	11	15	0.4412	9	18	1	1	0	0
Jackie Pieper	F	So	36	3	9	12	0.3333	3	6	0	1	0	0
Paige Sorensen	D	So	36	3	8	11	0.3056	19	46	0	2	0	0
Madison Morey	F	So	36	4	5	9	0.2500	6	12	2	1	0	0
Marie Delarbre	F	Sr	29	2	7	9	0.3103	2	4	1	0	0	0
Felila Manu	D	So	36	2	4	6	0.1667	4	8	0	0	0	0
Chloe Cook	D	Fr	36	1	5	6	0.1667	3	6	0	1	0	0
Emily Volpe	F	So	35	2	2	4	0.1143	2	4	1	1	0	0
Meghan Martin	D	So	34	0	4	4	0.1176	4	8	0	0	0	0
Jessica Kuhlman	F	So	26	1	2	3	0.1154	2	4	0	0	0	0
Jillian Battista	F	So	36	0	3	3	0.0833	0	0	0	0	0	0
Andrea Olson	D	Fr	36	0	2	2	0.0556	11	22	0	0	0	0
Beatrice Dufour	D	So	13	0	1	1	0.0769	3	6	0	0	0	0
Abby Lafreniere	F	Fr	2	0	0	0	0.0000	1	2	0	0	0	0
Baye Flanagan	D	So	4	0	0	0	0.0000	0	0	0	0	0	0
Léa-Kristine Demers	G	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
Samantha Ridgewell	G	So	14	0	0	0	0.0000	0	0	0	0	0	0
