Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lorna Gifis	F	Jr	28	26	22	48	1.7143	5	6	0	0
Emily Quizon	F	So	28	14	30	44	1.5714	3	2	1	0
Shannon Tarrant	D	Fr	27	11	14	25	0.9259	1	4	0	0
Emily McNamara	D	Fr	28	8	17	25	0.8929	2	2	0	0
Abby Kurtz-Phelan	F	Fr	28	10	13	23	0.8214	4	4	0	0
Shannon Sylvester	F	Fr	28	10	10	20	0.7143	1	2	2	0
Jean Butler	F	Sr	28	5	15	20	0.7143	2	2	0	0
Liz Yale-Loehr	F	So	24	8	10	18	0.7500	2	3	0	0
Alison Graddock	F	Fr	26	9	5	14	0.5385	1	3	0	0
Kristin Reid	F	Sr	28	4	10	14	0.5000	0	0	0	0
Lindsay Jones	F	Jr	26	5	7	12	0.4615	0	1	0	0
Molly Turco	D	Sr	26	0	11	11	0.4231	0	0	0	0
Gloria Velez	F/D	So	26	6	4	10	0.3846	1	2	0	0
Hannah Delong	F	So	17	4	6	10	0.5882	1	0	0	0
Samantha Ritt	F	Fr	25	3	7	10	0.4000	0	0	0	0
Heather Wende	D	Sr	27	1	6	7	0.2593	0	0	0	0
Jen Yerigan	D	So	7	1	4	5	0.7143	0	0	0	0
Rose Babst	D	Jr	26	1	3	4	0.1538	0	0	0	0
Allison Liati	D	Jr	8	2	0	2	0.2500	1	0	0	0
Elizabeth Johnston	F	So	3	1	1	2	0.6667	0	0	0	0
Jackie Cohen	D	Jr	28	1	1	2	0.0714	0	0	0	0
Ellen Sargent	D	Fr	12	0	1	1	0.0833	0	0	0	0
Kati Madouros	G	Sr	14	0	0	0	0.0000	0	0	0	0
Kate Kogut	G	So	15	0	0	0	0.0000	0	0	0	0
