Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jessica Young	F	Jr	28	16	20	36	1.2857	6	12	5	1	2	3
Maddie Winslow	F	Jr	28	13	16	29	1.0357	4	8	3	6	0	1
Carly Watson	D	Sr	28	6	17	23	0.8214	5	10	2	2	0	1
Janka Hlinka	F	Jr	27	8	12	20	0.7407	11	22	3	2	0	0
Lizzie Sheline	F	Fr	27	8	9	17	0.6296	21	42	2	2	1	0
Elizabeth Wulf	F	Jr	28	6	6	12	0.4286	7	14	1	4	1	0
Kelly Sherman	F	Sr	28	5	5	10	0.3571	1	2	1	2	0	0
Anna Zumwinkle	D	Fr	28	4	5	9	0.3214	6	12	0	1	0	0
Rachael St. Clair	F	So	28	3	5	8	0.2857	2	4	0	0	0	0
Allie Aiello	F	Sr	26	1	7	8	0.3077	1	2	0	0	0	0
Katherine Jackson	F	So	20	4	3	7	0.3500	0	0	2	0	0	0
Victoria Laven	D	Sr	27	1	5	6	0.2222	13	26	0	0	0	0
Jenna Marotta	D	So	25	1	4	5	0.2000	6	12	0	0	0	0
Haley LaFontaine	D	Jr	28	0	5	5	0.1786	4	8	0	0	0	0
Abby Marmer	D	Fr	22	1	3	4	0.1818	4	8	0	0	0	0
Sidney Portner	F	Fr	27	1	3	4	0.1481	1	2	0	1	0	0
Katarina Shuchuk	F	So	25	0	2	2	0.0800	2	4	0	0	0	0
Grace Jennings	D	So	24	0	2	2	0.0833	4	8	0	0	0	0
Amanda Navratil	F	Fr	23	1	0	1	0.0435	3	6	0	0	0	0
Shanna Hickman	F	So	4	1	0	1	0.2500	1	2	0	0	0	0
Julia Neuburger	G	Jr	16	0	0	0	0.0000	0	0	0	0	0	0
Lin Han	G	Fr	13	0	0	0	0.0000	0	0	0	0	0	0
