Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Natalie Darwitz	F	Fr	33	33	35	68	2.0606	5	10	0	1
Krissy Wendell	F	Fr	25	27	28	55	2.2000	6	8	3	0
Winny Brodt	D	Sr	34	14	25	39	1.1471	3	3	0	0
Ronda Curtin	D	Sr	36	9	28	37	1.0278	2	5	0	0
Kelly Stephens	F	So	34	19	15	34	1.0000	0	8	2	0
Kristy Oonincx	F	So	24	14	11	25	1.0417	2	3	2	0
La Toya Clarke	F	Jr	32	11	12	23	0.7188	2	3	3	0
Noelle Sutton	F	So	36	7	11	18	0.5000	2	0	0	0
Melissa Coulombe	D	Jr	36	3	14	17	0.4722	1	0	0	0
Allie Sanchez	F/D	Fr	36	6	6	12	0.3333	2	0	1	0
Kelsey Bills	F/D	Jr	36	4	5	9	0.2500	1	1	1	1
Chelsey Brodt	D	Fr	34	1	6	7	0.2059	0	0	0	0
Ashley Albrecht	D	Fr	32	1	6	7	0.2188	0	0	0	0
Jerilyn Glenn	F	Jr	36	2	4	6	0.1667	1	0	0	0
Gwen Anderson	F	Sr	36	1	3	4	0.1111	0	0	0	0
Cecilia Retelle	D	Jr	35	0	4	4	0.1143	0	0	0	0
Krista Johnson	F/D	Fr	36	1	2	3	0.0833	0	0	0	0
Jody Horak	G	So	30	0	1	1	0.0333	0	0	0	0
Stacy Troumbly	D	So	36	0	1	1	0.0278	0	0	0	0
Brenda Reinen	G	So	10	0	0	0	0.0000	0	0	0	0
