Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Emily West	F	Jr	38	23	23	46	1.2105	27	62	10	4	3	1
Sarah Erickson	F	So	40	18	22	40	1.0000	16	32	2	5	0	0
Brittany Francis	F	Sr	40	13	25	38	0.9500	13	26	1	7	0	0
Anne Schleper	D	So	40	12	20	32	0.8000	23	46	2	7	0	0
Laura May	F	Jr	40	12	12	24	0.6000	8	16	3	3	1	0
Megan Bozek	D	Fr	40	6	18	24	0.6000	20	40	1	6	0	0
Chelsey Jones	F	Sr	40	11	9	20	0.5000	12	24	3	2	1	1
Kelli Blankenship	F	Sr	37	9	10	19	0.5135	16	32	0	1	0	0
Terra Rasmussen	F	Jr	39	9	8	17	0.4359	13	26	3	1	0	0
Becky Kortum	F	Fr	40	4	10	14	0.3500	14	28	0	0	0	0
Kelly Seeler	D	So	40	3	11	14	0.3500	43	86	0	2	0	0
Alexandra Zebro	D	Sr	35	1	7	8	0.2286	13	26	0	0	0	0
Samantha Downey	F	Fr	40	4	2	6	0.1500	6	12	1	1	0	0
Mira Jalosuo	D	Fr	36	1	5	6	0.1667	7	14	0	0	0	0
Michelle Maunu	D	Sr	40	0	4	4	0.1000	11	22	0	0	0	0
Jaimie Horton	F	Sr	40	1	2	3	0.0750	4	8	0	0	0	0
Noora Rï¿½ty	G	Fr	26	0	3	3	0.1154	0	0	0	0	0	0
Katie Frischmann	F/D	Fr	40	2	0	2	0.0500	2	4	0	0	0	0
Nikki Ludwigson	F	So	40	0	1	1	0.0250	2	4	0	0	0	0
Alyssa Grogan	G	So	13	0	1	1	0.0769	1	2	0	0	0	0
Jenny Lura	G	Jr	3	0	0	0	0.0000	0	0	0	0	0	0
