Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Amanda Kessel	F	Jr	38	46	55	101	2.6579	7	25	8	9	5	4
Hannah Brandt	F	Fr	41	33	49	82	2.0000	8	16	7	10	2	1
Megan Bozek	D	Sr	41	20	37	57	1.3902	17	34	3	9	1	0
Maryanne Menefee	F	Fr	35	16	22	38	1.0857	8	16	3	5	0	0
Becky Kortum	F	Sr	41	15	17	32	0.7805	17	34	1	2	1	0
Rachael Bona	F	So	41	14	18	32	0.7805	11	22	1	1	0	0
Kelly Terry	F	Jr	39	9	23	32	0.8205	7	14	3	4	1	0
Mira Jalosuo	D	Sr	41	11	19	30	0.7317	7	14	4	7	0	0
Rachel Ramsey	D	So	41	9	20	29	0.7073	19	38	4	0	1	1
Milica McMillen	D	Fr	35	13	13	26	0.7429	25	61	3	8	0	0
Sarah Davis	F	Jr	38	7	18	25	0.6579	18	36	2	1	1	1
Meghan Lorence	F	So	41	9	14	23	0.5610	8	16	0	0	0	0
Bethany Brausen	F	Jr	41	4	14	18	0.4390	5	10	0	0	0	0
Baylee Gillanders	D	Jr	41	1	12	13	0.3171	6	12	0	0	0	0
Lee Stecklein	D	Fr	41	3	9	12	0.2927	3	6	2	2	1	0
Brook Garzone	F	Fr	37	2	4	6	0.1622	2	4	0	0	1	0
Jordyn Burns	D/F	So	21	2	2	4	0.1905	0	0	0	0	0	0
Katie Frischmann	D	Sr	41	2	1	3	0.0732	0	0	0	1	0	0
Noora Rï¿½ty	G	Sr	37	0	2	2	0.0541	0	0	0	0	0	0
Samantha Downey	F	Sr	30	0	1	1	0.0333	1	2	0	0	0	0
Amanda Leveille	G	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
