Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Noemie Marin	F	Sr	39	24	29	53	1.3590	4	8	0	1
Jessica Koizumi	F	Sr	36	22	18	40	1.1111	6	10	0	0
Saara Tuominen	F	Fr	39	12	28	40	1.0256	2	4	0	0
Emmanuelle Blais	F	Fr	39	14	21	35	0.8974	2	7	0	0
Elin Holmlov	F	Fr	31	6	20	26	0.8387	0	2	0	0
Michaela Lanzl	F	So	32	13	11	24	0.7500	4	2	0	0
Sara O'Toole	F	So	29	7	14	21	0.7241	1	4	1	0
Karine Demeule	F	Jr	39	13	4	17	0.4359	1	2	1	1
Myriam Trepanier	D	So	39	5	12	17	0.4359	0	3	0	0
Jill Sales	D	Sr	39	3	13	16	0.4103	2	0	0	0
Tawni Mattila	F	So	39	5	7	12	0.3077	1	1	0	0
Jaime Rasmussen	D	Sr	39	1	10	11	0.2821	0	0	0	0
Suvi Vacker	D	Sr	35	1	4	5	0.1429	0	0	0	0
Ashly Waggoner	F	Sr	39	1	4	5	0.1282	0	0	0	0
Sarah Murray	D	Fr	34	0	2	2	0.0588	0	0	0	0
Heidi Pelttari	D	Fr	15	0	2	2	0.1333	0	0	0	0
Jessica Hawkins	C	So	38	1	0	1	0.0263	1	0	0	0
Kirsti Hakala	D	So	30	0	0	0	0.0000	0	0	0	0
Erin Olson	F	So	39	0	0	0	0.0000	0	0	0	0
Samantha Hough	F	Jr	6	0	0	0	0.0000	0	0	0	0
Amie Meyer	G	So	4	0	0	0	0.0000	0	0	0	0
Riitta Schaublin	G	Sr	20	0	0	0	0.0000	0	0	0	0
Kim Martin	G	Fr	21	0	0	0	0.0000	0	0	0	0
