Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Haley Irwin	F	Fr	37	23	37	60	1.6216	31	62	4	3	3	0
Laura Fridfinnson	F	Fr	39	22	22	44	1.1282	11	22	3	8	2	0
Saara Tuominen	F	So	28	13	30	43	1.5357	0	0	2	3	0	0
Elin Holmlov	F	So	36	20	21	41	1.1389	12	24	2	7	1	0
Iya Gavrilova	F	Fr	26	19	22	41	1.5769	16	43	7	5	0	1
Emmanuelle Blais	F	So	32	17	14	31	0.9688	15	30	4	8	0	0
Myriam Trepanier	D	Jr	37	10	21	31	0.8378	32	64	1	4	1	0
Heidi Pelttari	D	So	39	4	23	27	0.6923	6	12	2	3	0	0
Jocelyne Larocque	D	Fr	39	4	22	26	0.6667	30	60	2	1	0	0
Sara O'Toole	F	Jr	39	9	16	25	0.6410	9	18	1	2	2	0
Karine Demeule	F	Sr	36	16	5	21	0.5833	18	36	6	2	1	1
Jaime Rasmussen	D	So	39	2	11	13	0.3333	0	0	0	1	0	0
Tawni Mattila	F	Jr	33	3	7	10	0.3030	17	34	0	0	1	0
Tara Gray	D	Fr	39	1	9	10	0.2564	13	26	0	0	0	0
Sarah Murray	D	So	39	1	3	4	0.1026	12	24	0	0	0	0
Erin Olson	F	Jr	39	1	2	3	0.0769	7	14	0	0	0	0
Kim Martin	G	So	36	0	2	2	0.0556	3	6	0	0	0	0
Jessica Hawkins	C	Jr	39	1	0	1	0.0256	6	12	0	0	0	0
Libby Guzzo	F	Fr	39	0	1	1	0.0256	1	2	0	0	0	0
Amie Meyer	G	Jr	8	0	0	0	0.0000	0	0	0	0	0	0
Johanna Ellison	G	Jr	15	0	0	0	0.0000	0	0	0	0	0	0
