Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Maggie Fisher	F	So	35	17	17	34	0.9714	5	2	2	0
Lindsay Macy	F	Jr	34	16	17	33	0.9706	1	3	2	0
Christina Lee	F	Fr	35	15	13	28	0.8000	3	8	0	0
Kristina Bunker	F	Jr	35	8	18	26	0.7429	0	2	0	0
Shera Vis	F	Sr	35	11	12	23	0.6571	3	5	0	0
Jodi Helminen	F	Jr	33	7	12	19	0.5758	1	2	0	2
Ashley Young	F	So	35	6	10	16	0.4571	0	4	0	0
Amanda Stohr	F	Jr	30	7	8	15	0.5000	2	0	3	0
Kala Buganski	F	Fr	32	5	10	15	0.4688	1	1	1	0
Noelle Needham	F	Jr	35	10	4	14	0.4000	0	7	0	0
Andreanne Thibault	D	Jr	35	1	5	6	0.1714	0	0	0	0
Ida Clark	D	Fr	35	0	5	5	0.1429	0	0	0	0
Holly Snyder	D	Fr	31	0	5	5	0.1613	0	0	0	0
Sammy Jo Miller	D	Sr	33	1	3	4	0.1212	0	0	0	0
Brittany Mackley	F	Jr	35	2	1	3	0.0857	0	0	0	0
Megan Jedinak	D	Sr	30	1	2	3	0.1000	0	0	0	0
Kathleen Rosso	D	Fr	32	0	3	3	0.0938	0	0	0	0
Jenna Hewitt	F	So	22	1	0	1	0.0455	0	0	0	0
Richelle St. Croix	D	Sr	27	0	1	1	0.0370	0	0	0	0
Katerina Geertsen	G	Fr	3	0	0	0	0.0000	0	0	0	0
Jessica Knight	F	Fr	4	0	0	0	0.0000	0	0	0	0
Britni Kehler	G	Jr	34	0	0	0	0.0000	0	0	0	0
