Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Emily Antony	F	So	32	7	7	14	0.4375	4	16	1	3	0	0
Lindsey Coleman	F	Jr	37	5	8	13	0.3514	7	14	1	1	0	0
Corbin Boyd	F	So	37	2	11	13	0.3514	3	6	0	0	0	0
Hannah Davidson	F	Jr	35	4	8	12	0.3429	12	24	0	1	0	0
Anna Keys	D	Jr	36	3	8	11	0.3056	18	36	1	1	0	0
Jordan McLaughlin	F	So	37	3	5	8	0.2162	7	17	0	0	0	0
Megan Hinze	D	So	33	5	2	7	0.2121	5	10	1	4	0	0
Sara Bustad	F	Sr	35	3	4	7	0.2000	6	12	0	0	0	0
Demi Gardner	F	Fr	24	4	2	6	0.2500	11	25	0	1	0	0
Anna-Maria Fiegert	D	Sr	33	1	3	4	0.1212	9	18	1	0	0	0
Amanda Conway	F	Jr	34	2	1	3	0.0882	8	16	0	0	0	0
Jordan Jackson	D	Fr	23	1	2	3	0.1304	6	12	0	0	0	0
Steph Keryluk	F	So	33	1	2	3	0.0909	5	10	0	0	0	0
Savannah Quandt	F	Sr	37	1	1	2	0.0541	6	12	1	0	0	0
Amanda Martin	F	Jr	35	1	1	2	0.0571	2	4	1	1	0	0
Lena Düsterhöft	D	So	22	0	2	2	0.0909	3	6	0	0	0	0
McKenzie Sederberg	D	Fr	16	0	2	2	0.1250	2	4	0	0	0	0
Emma Wittchow	D	Jr	36	1	0	1	0.0278	12	24	0	0	0	0
Sofia Poinar	F	Fr	36	1	0	1	0.0278	2	4	0	0	0	0
Brianna Quade	G	Sr	26	0	1	1	0.0385	0	0	0	0	0	0
Leila Kilduff	D	So	28	0	1	1	0.0357	1	2	0	0	0	0
Kathryn Bidulka	G	Jr	10	0	0	0	0.0000	0	0	0	0	0	0
Taylor Gulenchyn	F	Fr	27	0	0	0	0.0000	2	4	0	0	0	0
Chloe Crosby	G	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
