Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Mary Harding	F/D	Jr	11	8	9	17	1.5455	0	6	0	0
Sara John	D	Fr	14	5	8	13	0.9286	0	3	0	0
Stephanie Brenman	D	Fr	14	5	6	11	0.7857	0	2	0	0
Catherine Harding	F	Fr	14	3	5	8	0.5714	0	0	0	0
Amanda Hunter	F/D	Jr	8	4	3	7	0.8750	1	2	0	0
Barbara Peng	F	So	10	4	0	4	0.4000	0	2	1	0
Rachel Longley	F	So	14	0	4	4	0.2857	0	0	0	0
Christina Ottomeyer	F	So	14	0	2	2	0.1429	0	0	0	0
Rebecca Millson	F	Fr	10	1	0	1	0.1000	0	0	0	0
Cristina Stefanescu	F	So	10	0	1	1	0.1000	0	0	0	0
Lauren Nowierski	D	Sr	10	0	1	1	0.1000	0	0	0	0
Jacque Tio	F	Sr	13	0	0	0	0.0000	0	0	0	0
Kristina Holton	F	Fr	5	0	0	0	0.0000	0	0	0	0
Raffaela Wakeman	D	So	7	0	0	0	0.0000	0	0	0	0
Becky Romatowski	F/D	Sr	14	0	0	0	0.0000	0	0	0	0
Amy Brzezinski	F	Sr	14	0	0	0	0.0000	0	0	0	0
Sally Simpson	G	Fr	9	0	0	0	0.0000	0	0	0	0
Elizabeth Ward	F	Sr	11	0	0	0	0.0000	0	0	0	0
Nicola Tan	F	So	13	0	0	0	0.0000	0	0	0	0
Shauna Moran	G	Fr	7	0	0	0	0.0000	0	0	0	0
Olivia Leitermann	F	Jr	14	0	0	0	0.0000	0	0	0	0
Juliana Rotter	F	Fr	9	0	0	0	0.0000	0	0	0	0
