Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stephanie Brenman	D	Jr	21	5	4	9	0.4286	12	24	0	4	0	1
Rachel Longley	F	Sr	21	4	5	9	0.4286	4	8	0	1	0	0
Catherine Harding	F	Jr	14	2	5	7	0.5000	7	14	0	0	0	0
Lauren Kazmierski	F	Fr	21	2	3	5	0.2381	16	35	0	0	0	0
Sara John	D	Jr	19	3	1	4	0.2105	14	28	1	1	0	0
Barbara McCarragher	D	So	21	0	2	2	0.0952	1	2	0	0	0	0
Monique Squiers	D	Fr	21	1	0	1	0.0476	25	61	0	0	0	0
Connie Lu	F	Fr	21	1	0	1	0.0476	1	2	0	0	0	0
Cristina Stefanescu	F	Sr	15	0	1	1	0.0667	2	4	0	0	0	0
Kelcie Abraham	F	So	21	0	1	1	0.0476	0	0	0	0	0	0
Raffaela Wakeman	D	Sr	16	0	0	0	0.0000	5	10	0	0	0	0
Claire Smith	F	So	20	0	0	0	0.0000	0	0	0	0	0	0
Maria Prus	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
Christina Ottomeyer	F	Sr	17	0	0	0	0.0000	5	10	0	0	0	0
Rachel Bowens-Rubin	G	Fr	17	0	0	0	0.0000	1	2	0	0	0	0
Julia Roberts	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Stephanie Leger	F	Fr	20	0	0	0	0.0000	0	0	0	0	0	0
