Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stephanie Strymecki	F	Fr	27	17	9	26	0.9630	17	34	4	4	0	0
Kelley Graham	F	Fr	27	10	10	20	0.7407	16	32	1	1	0	0
Kahnekaró:roks McComber	F	Jr	27	7	13	20	0.7407	7	14	1	0	0	0
Maria deWilde	F	Fr	27	9	7	16	0.5926	3	6	0	3	0	0
Megan Kirk	F	Fr	27	11	4	15	0.5556	4	8	2	0	0	0
Kali Rutka	D	Fr	24	5	10	15	0.6250	11	22	0	0	0	0
Ciara Lark	D	Fr	26	3	9	12	0.4615	3	6	0	1	0	0
Kaitlyn Schlake	D	Fr	27	2	10	12	0.4444	9	18	1	1	0	0
Kim Hughes	D	Fr	27	1	5	6	0.2222	8	16	0	1	0	0
Bailey Dillabough	F	Fr	24	2	3	5	0.2083	8	16	0	0	0	0
Alicia Eamon	D	So	27	2	3	5	0.1852	5	10	1	0	0	0
Kristen Iattarelli	F	Jr	26	2	2	4	0.1538	1	2	0	0	0	0
Taylor Pincheon	G	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
Renee Schmaltz	G	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
