Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Carly Fitzsimmons	F	So	22	13	9	22	1.0000	1	7	0	0
Jenelle Marier	F	So	22	7	11	18	0.8182	0	4	0	0
Robyn Armstrong	D	So	22	5	10	15	0.6818	0	2	0	0
Samantha May	F	Jr	22	8	6	14	0.6364	1	1	3	0
Carolyn Fauteux	F	Jr	20	7	5	12	0.6000	1	4	0	0
Holly Williams	F	Fr	22	4	8	12	0.5455	0	0	0	0
Kristin Gauthier	F	Jr	22	6	5	11	0.5000	1	2	0	0
Vicki Scott	D	So	21	3	7	10	0.4762	2	0	0	0
Jessica Bryan	F	So	19	2	6	8	0.4211	1	2	0	0
Kaitlin Hein	D	Jr	22	1	5	6	0.2727	0	1	0	0
Mary Zupan	D	Jr	22	1	4	5	0.2273	0	0	0	0
Allison Tyndall	F	Jr	20	2	2	4	0.2000	1	0	0	0
Chelsea Ward	F	Jr	22	1	3	4	0.1818	0	0	0	0
Tabatha Schury	F	So	10	1	3	4	0.4000	0	0	0	0
Jessica McAllister	F/D	Jr	22	2	1	3	0.1364	0	1	0	0
Tiffany Baker	F	So	24	0	3	3	0.1250	0	0	0	0
Sadye Gonnella	F	Fr	3	0	0	0	0.0000	0	0	0	0
Teresa White	G	Jr	21	0	0	0	0.0000	0	0	0	0
Laura Keeley	G	Fr	2	0	0	0	0.0000	0	0	0	0
Leah Eyerman	F	Jr	12	0	0	0	0.0000	0	0	0	0
Laura Sutherland	D	So	20	0	0	0	0.0000	0	0	0	0
