Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jessica Schroeder	F	So	27	13	22	35	1.2963	10	20	4	2	1	0
Jasper Thomson	F	Fr	27	14	19	33	1.2222	5	10	1	2	1	1
Nicole Alexopoulos	F	Fr	26	16	10	26	1.0000	10	20	1	5	1	0
Kayla Dubowski	D	Fr	27	4	22	26	0.9630	13	26	1	2	0	0
Niki Blazenko	F	So	27	14	11	25	0.9259	10	20	1	5	0	0
Carly Fitzsimmons	F	Sr	26	7	13	20	0.7692	1	2	2	1	0	0
Holly Williams	F	Jr	27	6	13	19	0.7037	20	40	2	3	0	0
Vicki Scott	D	Sr	27	5	5	10	0.3704	13	26	0	3	0	0
Brittany Metcalfe	D	Fr	27	3	5	8	0.2963	19	38	0	2	0	0
Khristine Acosta	F	Fr	23	2	6	8	0.3478	8	16	0	1	0	0
Carly Bondra	F	So	14	4	3	7	0.5000	0	0	1	2	0	0
Diane Peters	F	Fr	25	3	3	6	0.2400	15	30	2	1	0	0
Tabatha Schury	F	Sr	23	4	1	5	0.2174	6	12	1	0	0	1
Jenelle Marier	F	Sr	18	3	2	5	0.2778	2	4	0	0	0	0
Stephanie Nakamura	D	So	27	0	4	4	0.1481	14	28	0	0	0	0
Robyn Armstrong	D	Sr	25	1	2	3	0.1200	10	20	0	1	0	0
Angie Conte	F	Fr	15	1	1	2	0.1333	4	8	0	0	0	0
Danielle McGurry	F	Fr	20	0	1	1	0.0500	3	6	0	0	0	0
Mel Brunet	G	So	26	0	0	0	0.0000	1	2	0	0	0	0
Laura Keeley	G	Jr	3	0	0	0	0.0000	0	0	0	0	0	0
Jessica Bryan	F	Sr	11	0	0	0	0.0000	8	16	0	0	0	0
Gina Reuter	D	So	16	0	0	0	0.0000	5	10	0	0	0	0
Jennie Greenlee	F	Fr	26	0	0	0	0.0000	0	0	0	0	0	0
