Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jessica Schroeder	F	Sr	27	13	20	33	1.2222	9	18	2	1	1	0
Niki Blazenko	F	Sr	27	10	10	20	0.7407	5	10	4	2	0	0
Diane Peters	F	Jr	27	9	10	19	0.7037	6	12	2	3	0	1
Jasper Thomson	F	Jr	27	8	6	14	0.5185	4	8	2	2	0	0
Kayla Dubowski	D	Jr	27	7	7	14	0.5185	7	14	2	3	1	0
Khristine Acosta	F	Jr	27	5	9	14	0.5185	4	8	1	3	0	1
Jennie Greenlee	F	Jr	27	2	9	11	0.4074	5	10	1	0	0	0
Mariah Fairgrieve	D	Sr	27	1	10	11	0.4074	17	34	1	0	0	0
Nicole Alexopoulos	F	Jr	27	7	3	10	0.3704	10	20	0	0	1	0
Edie Brenning	F	Fr	26	7	3	10	0.3846	9	18	0	0	0	0
Lynsey Nakamura	F/D	So	26	3	6	9	0.3462	2	4	0	0	0	0
Brittany Metcalfe	D	Jr	27	5	3	8	0.2963	14	28	1	1	0	0
Angela Gilmour	F/D	Fr	26	5	2	7	0.2692	6	12	0	1	0	0
Dru Austin	F	Fr	21	4	2	6	0.2857	2	4	0	1	0	0
Stephanie Nakamura	D	Sr	27	0	5	5	0.1852	7	14	0	0	0	0
Olivia Pryzbylkowski	D	So	27	1	1	2	0.0741	11	22	0	1	0	0
Gina Reuter	D	Sr	19	0	2	2	0.1053	7	14	0	0	0	0
Stephanie Bonin	D	So	22	0	2	2	0.0909	5	10	0	0	0	0
Amelie Corriveau-St. Louis	F	Fr	22	0	2	2	0.0909	1	2	0	0	0	0
Shannon Donnelly	G	So	22	0	1	1	0.0455	1	2	0	0	0	0
Kendra Chilson	G	Jr	3	0	0	0	0.0000	0	0	0	0	0	0
Allie Frank	G	So	3	0	0	0	0.0000	0	0	0	0	0	0
