Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Maren Worley	F	Fr	22	6	17	23	1.0455	2	3	0	0
Marissa Porri	F	Fr	20	11	10	21	1.0500	1	1	0	0
Megan Tepper	D	So	24	10	6	16	0.6667	0	3	0	0
Kitrina Knopf	F	Fr	22	5	7	12	0.5455	0	3	0	0
Kate Sweeney	F/D	So	22	5	7	12	0.5455	0	2	0	0
Caitlin Jordan	D	Fr	24	3	8	11	0.4583	1	0	0	0
Kerry Ryan	D	Fr	19	5	3	8	0.4211	0	0	0	0
Julia Whalen	F	So	20	2	6	8	0.4000	0	0	0	0
Raina Micciulli	F	Fr	24	2	6	8	0.3333	0	0	0	0
Erica Hamlin	F	So	23	6	1	7	0.3043	1	0	0	0
Jessica Patterson	F	Fr	15	2	5	7	0.4667	0	0	0	0
Gina Costanzo	F	So	21	2	4	6	0.2857	1	0	0	0
Lindsey Suprenard	F	So	23	2	3	5	0.2174	0	0	0	0
Molly Patterson	F	Fr	16	2	0	2	0.1250	1	0	0	0
Leah O'Brien	D	Fr	7	1	0	1	0.1429	0	1	0	0
Kate Coniglio	D	Fr	9	0	1	1	0.1111	0	0	0	0
Jamie Harrop	F	Fr	5	0	0	0	0.0000	0	0	0	0
Meghan O'Malley	G	Fr	3	0	0	0	0.0000	0	0	0	0
Casey Greemore	D	Fr	17	0	0	0	0.0000	0	0	0	0
Christina Aiello	G	Fr	14	0	0	0	0.0000	0	0	0	0
Jennifer Toof	G	Fr	10	0	0	0	0.0000	0	0	0	0
