Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Sarah Tracey	F	Jr	25	19	25	44	1.7600	35	70	2	5	0	0
Sarah Graham	F	Jr	26	24	18	42	1.6154	3	6	3	7	1	0
Elizabeth Ross	F	Sr	25	15	20	35	1.4000	10	31	0	4	0	1
Rachel White	F	Fr	24	11	14	25	1.0417	26	52	1	2	0	0
Jaime Collins	F	Jr	26	9	16	25	0.9615	10	20	5	0	0	0
Stefanie Lewis	F	So	26	8	8	16	0.6154	4	8	1	1	0	0
Danielle Taylor	D	So	26	5	9	14	0.5385	16	32	0	3	0	0
Emily Tanguay	D	Jr	23	1	13	14	0.6087	20	48	0	0	0	0
Shauna Pires	F	Sr	26	10	2	12	0.4615	0	0	1	1	1	0
Danielle O'Leary	F	So	26	1	8	9	0.3462	6	12	0	0	1	0
Ashley Koltenback	F	Sr	24	2	4	6	0.2500	2	4	1	1	0	0
Jana Schneider	D	So	26	2	4	6	0.2308	17	34	0	0	0	0
Brianna Gerrior	D	Fr	26	2	4	6	0.2308	11	22	0	0	0	0
Julie Hughes	D	Fr	24	0	4	4	0.1667	2	4	0	0	0	0
Emily Kuchta	F	Fr	26	2	1	3	0.1154	2	4	1	0	0	0
Danielle Giancola	G	Jr	6	0	0	0	0.0000	0	0	0	0	0	0
Jamie Johnson	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Michelle Dill	D	Fr	26	0	0	0	0.0000	1	2	0	0	0	0
Mary Roux	G	So	22	0	0	0	0.0000	1	2	0	0	0	0
