Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Rachel White	F	Sr	26	8	13	21	0.8077	11	22	0	3	0	0
Kate Kellar	F	So	26	7	11	18	0.6923	10	20	0	2	0	0
Stephanie Spera	F	So	24	6	9	15	0.6250	26	52	2	2	0	1
Chelsea Torrico	F	Jr	21	6	8	14	0.6667	13	26	1	0	0	0
Kaleigh Costello	F	Jr	26	5	9	14	0.5385	18	47	1	1	0	0
Sam Hippern	D	So	26	8	5	13	0.5000	7	14	4	3	0	0
Kristin Dehm	F	Fr	26	8	2	10	0.3846	5	10	2	1	0	0
Alyssa Hoot	D	So	26	2	8	10	0.3846	13	26	0	0	0	0
Kassandra Flint	D	Fr	22	3	3	6	0.2727	15	30	0	0	0	0
Chelsie Boroski	D	So	26	2	4	6	0.2308	4	8	0	2	0	0
Alexis Fitzpatrick	F	Fr	23	0	6	6	0.2609	11	28	0	0	0	0
Jamie Tabb	D	Fr	23	1	3	4	0.1739	23	46	1	0	0	0
Agnes Fotino	F	Fr	10	1	2	3	0.3000	2	4	1	0	1	0
Amanda Grenier	D	Jr	26	0	3	3	0.1154	7	14	0	0	0	0
Alicia Michonski	D	Jr	23	0	1	1	0.0435	6	12	0	0	0	0
Teraysa White	G	Jr	23	0	0	0	0.0000	0	0	0	0	0	0
Liz Figueroa	F	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Kelly Metz	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Kristen Conners	G	So	4	0	0	0	0.0000	0	0	0	0	0	0
