Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Nicole Hekle	F	So	35	19	33	52	1.4857	3	7	0	0
Stephanie Jones	F	Sr	35	23	19	42	1.2000	5	7	1	0
Lindsay Hansen	F	Jr	35	9	29	38	1.0857	2	3	0	0
Leah Craig	F	Fr	35	12	16	28	0.8000	0	5	0	0
Taylor Palazeti	F	Fr	35	15	12	27	0.7714	3	6	0	0
Lindsey Caleo	F	So	35	4	22	26	0.7429	0	1	0	0
Jennifer Hitchcock	F	Fr	35	14	11	25	0.7143	3	6	1	0
Jackie Wedster	F	So	35	10	10	20	0.5714	4	3	0	0
Becky Peters	D	Jr	34	2	9	11	0.3235	0	1	0	0
Diana Saly	D	Fr	35	0	9	9	0.2571	0	0	0	0
Jessica Zerafa	F	Fr	30	4	4	8	0.2667	1	1	0	0
Shannon Clement	D	So	35	2	6	8	0.2286	0	0	0	0
Nicole Goguen	D	Fr	33	3	3	6	0.1818	0	0	0	0
Andi Hanley	D	Fr	32	2	2	4	0.1250	0	0	0	0
Chantal Gauvin	D	Fr	15	0	3	3	0.2000	0	0	0	0
Martine Garland	D	So	4	0	2	2	0.5000	0	0	0	0
Maghan Grahn	G	Jr	1	0	0	0	0.0000	0	0	0	0
Brittany Busa	G	So	7	0	0	0	0.0000	0	0	0	0
Melissa Bourdon	G	So	31	0	0	0	0.0000	0	0	0	0
