Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sam Faber	F	So	33	17	29	46	1.3939	3	4	0	1
Jennifer Hitchcock	F	Jr	37	25	13	38	1.0270	4	15	0	0
Kelly Paton	F	Fr	37	13	21	34	0.9189	2	3	2	0
Martine Garland	D	Jr	37	6	25	31	0.8378	1	3	0	0
Kacey Bellamy	D	So	36	10	19	29	0.8056	2	9	0	0
Leah Craig	F	Jr	37	14	13	27	0.7297	4	3	2	1
Sadie Wright-Ward	F	Jr	33	6	21	27	0.8182	1	1	0	0
Nicole Hekle	F	Sr	37	10	12	22	0.5946	3	2	0	0
Micaela Long	F	Fr	37	10	11	21	0.5676	2	2	1	0
Shannon Clement	D	Sr	37	8	12	20	0.5405	0	1	0	0
Lindsey Caleo	F	Sr	33	8	10	18	0.5455	2	0	0	0
Steph Holmes	F	Fr	36	7	9	16	0.4444	2	0	0	0
Angela Taylor	F/D	So	33	7	7	14	0.4242	1	1	0	0
Jackie Wedster	F	Sr	34	4	7	11	0.3235	1	0	0	0
Maggie Joyce	D	So	37	2	6	8	0.2162	0	0	0	0
Courtney Sheary	D	Fr	30	1	3	4	0.1333	0	0	0	0
Nicole Goguen	D	Jr	37	0	4	4	0.1081	0	0	0	0
Taylor Palazeti	F	Jr	11	1	2	3	0.2727	0	0	0	0
Diana Saly	D	Jr	26	0	2	2	0.0769	0	0	0	0
Melissa Bourdon	G	Sr	30	0	1	1	0.0333	0	0	0	0
Brittany Busa	G	Sr	3	0	0	0	0.0000	0	0	0	0
Lucy Schoedel	G	Fr	6	0	0	0	0.0000	0	0	0	0
Shannon Sisk	F	Fr	20	0	0	0	0.0000	0	0	0	0
