Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kelly Paton	F	Sr	33	19	32	51	1.5455	5	10	4	6	1	1
Micaela Long	F	Sr	33	13	38	51	1.5455	6	12	2	6	1	0
Kristina Lavoie	F	Fr	33	18	11	29	0.8788	12	24	1	7	0	1
Courtney Birchard	D	Jr	27	9	13	22	0.8148	17	34	4	6	1	0
Kristine Horn	F	Fr	33	8	13	21	0.6364	5	10	2	5	0	0
Julie Allen	F	Jr	33	10	3	13	0.3939	13	26	1	1	0	0
Kelly Cahill	F	Sr	32	8	5	13	0.4063	8	27	2	4	0	0
Brittany Skudder	F	So	28	5	8	13	0.4643	12	24	1	2	0	0
Raylen Dziengelewski	D	Jr	33	0	13	13	0.3939	11	22	0	0	0	0
Courtney Sheary	D	Sr	33	1	7	8	0.2424	12	24	0	1	0	0
Sarah Cuthbert	F/D	So	32	3	4	7	0.2188	7	14	1	0	0	0
Shannon Sisk	F	Sr	33	2	2	4	0.1212	7	22	1	0	0	0
Kailey Chappell	D	Fr	33	1	3	4	0.1212	12	24	0	0	0	0
Katie Brock	D	Fr	25	0	4	4	0.1600	6	12	0	0	0	0
Bryanna Farris	D	Fr	30	1	2	3	0.1000	8	16	0	0	0	0
Molly Morrison	F	Jr	32	0	3	3	0.0938	3	6	0	0	0	0
Paige Goloubef	F	Fr	32	1	1	2	0.0625	7	14	0	0	0	0
Kayley Herman	G	Jr	16	0	1	1	0.0625	0	0	0	0	0	0
Emma Clark	F	So	29	0	0	0	0.0000	0	0	0	0	0	0
Lindsey Minton	G	So	19	0	0	0	0.0000	0	0	0	0	0	0
Katie Kleinendorst	F	Fr	29	0	0	0	0.0000	1	2	0	0	0	0
