Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jonna Curtis	F	Sr	36	16	17	33	0.9167	7	14	1	2	0	1
Amy Boucher	F	So	36	12	13	25	0.6944	8	16	1	6	0	0
Amy Schlagel	D	So	36	9	12	21	0.5833	12	24	2	4	0	1
Sara Carlson	F	Sr	36	4	15	19	0.5278	6	12	0	1	0	0
Cassandra Vilgrain	F	Jr	36	10	5	15	0.4167	8	16	2	1	0	0
Taylor Wenczkowski	F	Fr	35	4	8	12	0.3429	4	8	0	1	0	0
Margo Lund	F	Sr	36	4	7	11	0.3056	7	14	0	0	0	0
Julia Fedeski	D	So	34	3	8	11	0.3235	7	14	0	2	0	0
Kate Haslett	D	Jr	35	4	5	9	0.2571	4	8	0	0	0	0
Nicoline Jensen	F	Sr	36	3	5	8	0.2222	13	26	1	2	0	0
Carlee Toews	F	So	36	3	5	8	0.2222	1	2	2	1	0	0
Marie-Jo Pelletier	D	Fr	36	0	8	8	0.2222	7	14	0	0	0	0
Devan Taylor	F	Fr	36	4	3	7	0.1944	11	22	1	0	0	0
Haley Breedlove	F	Sr	36	0	6	6	0.1667	2	4	0	0	0	0
Jenna Rheault	D	Fr	36	2	1	3	0.0833	12	24	0	1	0	0
Kaylee Forster	D	So	32	1	2	3	0.0938	4	8	1	0	0	0
Caitlyn Radatovich	F	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
Ashley Wilkes	G	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Kyra Smith	G	Fr	25	0	0	0	0.0000	0	0	0	0	0	0
Vilma Vaattovaara	G	Sr	10	0	0	0	0.0000	0	0	0	0	0	0
Hilary Cashin	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Ali Praus	F	So	32	0	0	0	0.0000	0	0	0	0	0	0
Brooke Avery	F	So	9	0	0	0	0.0000	0	0	0	0	0	0
Heather Kashman	F	Sr	13	0	0	0	0.0000	2	4	0	0	0	0
