Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Ashley Riggs	F	So	33	14	17	31	0.9394	2	7	0	0
Mary McKinnon	F	Fr	35	9	11	20	0.5714	0	1	1	1
Shannon Moulson	D	Jr	35	4	15	19	0.5429	1	3	0	0
Melanie Mills	F	So	35	6	10	16	0.4571	2	2	0	2
Charde Hoyle-Levy	F	Jr	31	8	6	14	0.4516	2	4	0	0
Alison Malty	D	Fr	35	2	11	13	0.3714	1	0	0	0
Katie Gray	F	Sr	35	6	6	12	0.3429	0	1	0	0
Chelsea Donovan	F	Sr	27	4	7	11	0.4074	0	1	0	0
Mallory Yorkson	F	Fr	35	4	7	11	0.3143	1	2	0	0
Lisa Agozzino	F	Jr	35	4	6	10	0.2857	1	0	0	0
Frances McPhail	F	Fr	35	6	3	9	0.2571	0	1	0	0
Emilie Castonguay	F	So	32	2	7	9	0.2813	0	0	0	0
Candice Boyles	D	Sr	35	2	7	9	0.2571	0	1	0	0
Jacquiline Spring	F/D	Fr	35	2	4	6	0.1714	0	0	0	0
Christina Jablonski	D	Fr	35	1	4	5	0.1429	0	0	0	0
Kerri-Lynn O'Hara	D	Sr	35	2	2	4	0.1143	0	0	0	0
Rachel Hauser	D	Fr	31	0	1	1	0.0323	0	0	0	0
Meagan Bleiman	F	Sr	6	0	1	1	0.1667	0	0	0	0
Allison Rutledge	G	Sr	35	0	1	1	0.0286	0	0	0	0
Megan Price	F/D	Fr	31	0	0	0	0.0000	0	0	0	0
Jill Zelonis	G	Fr	2	0	0	0	0.0000	0	0	0	0
