Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Ashley Riggs	F	Jr	33	22	12	34	1.0303	10	20	2	8	2	2
Mary McKinnon	F	So	35	8	12	20	0.5714	15	30	3	5	0	0
Shannon Moulson	D	Sr	35	4	13	17	0.4857	17	34	0	3	0	0
Venla Heikkila	F	Fr	16	5	9	14	0.8750	5	10	0	2	0	0
Frances McPhail	F	So	33	5	8	13	0.3939	10	20	1	2	0	0
Marie Linander Henriksen	F/D	Fr	35	7	5	12	0.3429	6	12	1	4	1	0
Lisa Agozzino	F	Sr	35	5	5	10	0.2857	21	42	1	3	0	0
Alison Malty	D	So	31	1	8	9	0.2903	29	61	0	1	0	0
Autumn Stuntz	F	Fr	34	3	5	8	0.2353	7	14	0	0	1	0
Melanie Mills	F	Jr	19	3	5	8	0.4211	7	14	1	0	0	0
Mallory Yorkson	F	So	30	2	6	8	0.2667	5	10	0	1	0	0
Christina Jablonski	D	So	35	2	4	6	0.1714	10	20	0	1	0	0
Kara Edwards	D	Fr	35	1	5	6	0.1714	5	10	0	0	0	0
Megan Price	F/D	So	33	3	1	4	0.1212	10	20	0	1	0	0
Alyssa Breu	D	Fr	14	0	2	2	0.1429	6	12	0	0	0	0
Emilie Castonguay	F	Jr	26	0	2	2	0.0769	1	2	0	0	0	0
Rachel Hauser	D	So	32	0	1	1	0.0313	10	20	0	0	0	0
Meagan Bleiman	F	Sr	30	0	1	1	0.0333	13	26	0	0	0	0
Amanda Rowe	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Jacquiline Spring	F/D	So	4	0	0	0	0.0000	1	2	0	0	0	0
Nikki Rudy	G	Jr	15	0	0	0	0.0000	0	0	0	0	0	0
Jill Zelonis	G	So	28	0	0	0	0.0000	1	2	0	0	0	0
