Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Samantha DiReda	F	Sr	20	2	5	7	0.3500	23	46	0	0	1	0
Laura Christie	F	Jr	19	3	2	5	0.2632	13	34	0	1	0	0
Jill Hannigan	F	Fr	25	2	3	5	0.2000	5	10	0	1	0	0
Kirsten Sullivan	F	So	21	2	2	4	0.1905	2	4	0	0	0	0
Mikayla Castro	F	So	25	1	3	4	0.1600	11	22	0	0	0	0
Emily Eagan	D	Fr	24	0	3	3	0.1250	10	31	0	0	0	0
Emily Barden	F	Jr	25	2	0	2	0.0800	4	8	0	1	0	0
Margaret Ready	D	Fr	17	2	0	2	0.1176	11	30	1	0	0	1
Emily Wood	F	Sr	23	2	0	2	0.0870	17	34	0	0	0	0
Ariana Dembro	F	Jr	16	1	1	2	0.1250	2	4	0	0	0	0
Amanda Moquin	D	Jr	9	1	0	1	0.1111	10	34	0	0	0	0
Callie Jackson	F	So	19	1	0	1	0.0526	8	16	0	0	0	0
Marg Reid	F	So	18	1	0	1	0.0556	3	6	0	0	0	0
Kelly Downey	F	Sr	25	0	1	1	0.0400	1	2	0	0	0	0
Tori Wolter	D	Jr	16	0	1	1	0.0625	3	6	0	0	0	0
Ashley Ljuggren	F	Fr	11	0	1	1	0.0909	2	4	0	0	0	0
Kelly Ferreira	F	So	19	0	1	1	0.0526	7	14	0	0	0	0
Kate O'Shea	D	Fr	18	0	0	0	0.0000	4	8	0	0	0	0
Kara Donati	F	Sr	14	0	0	0	0.0000	8	19	0	0	0	0
MacKenzie Lyons	D	So	25	0	0	0	0.0000	12	24	0	0	0	0
Cassandra Goyette	G	So	16	0	0	0	0.0000	0	0	0	0	0	0
Lindsey Gerzabek	F	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
Jensen Wurm	F	So	20	0	0	0	0.0000	3	6	0	0	0	0
Lauren Bennett	G	So	3	0	0	0	0.0000	0	0	0	0	0	0
Lindsay O'Connell	G	Jr	10	0	0	0	0.0000	0	0	0	0	0	0
Madison Bakos	F	Fr	8	0	0	0	0.0000	2	4	0	0	0	0
Rachel Maselli	D	Fr	5	0	0	0	0.0000	6	12	0	0	0	0
Leah Baxendale	D	So	22	0	0	0	0.0000	4	8	0	0	0	0
