Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Stasia Bakhit	F	Sr	32	23	15	38	1.1875	4	3	3	2
Elizabeth Funk	F	So	32	16	18	34	1.0625	3	4	1	2
Sherrie White	F	Sr	32	12	18	30	0.9375	2	6	0	0
Abbey Strong	D	Sr	32	2	17	19	0.5938	2	1	0	0
Alexia Gagnon Laplante	F	Fr	28	10	7	17	0.6071	2	5	0	0
Devon Fingland	F/D	So	32	2	11	13	0.4063	1	1	0	0
Rachel Dusich	D	Fr	32	1	9	10	0.3125	0	0	0	0
Sarah Connelly	F/D	Fr	31	0	10	10	0.3226	0	0	0	0
Amber Yorga	F	So	32	5	3	8	0.2500	0	2	1	0
Marissa Hanglseben	F	Sr	31	2	4	6	0.1935	0	1	1	1
Jessica Kovacevich	D	So	29	2	3	5	0.1724	0	2	0	0
Meaghan Nelson	F	Jr	32	4	0	4	0.1250	0	1	0	0
Meghan Mutrie	F	So	32	3	1	4	0.1250	1	0	0	0
Meghan Hopps	F	So	32	3	1	4	0.1250	1	0	0	0
Anne Girtz	F	So	30	2	2	4	0.1333	0	1	0	0
Laura Cecko	F	So	27	1	1	2	0.0741	0	0	0	0
Aynsley Allen	F	So	21	1	0	1	0.0476	0	0	0	0
Amber Hasbargen	G	So	14	0	1	1	0.0714	0	0	0	0
Jenna Burdy	G	Fr	5	0	0	0	0.0000	0	0	0	0
Sarah McCann	F	So	6	0	0	0	0.0000	0	0	0	0
Margaret-Ann Hinkley	G	So	22	0	0	0	0.0000	0	0	0	0
Kelly Crandall	F	Fr	12	0	0	0	0.0000	0	0	0	0
Rachel Cutcliffe	D	Fr	8	0	0	0	0.0000	0	0	0	0
Dana Hanson	D	Fr	15	0	0	0	0.0000	0	0	0	0
