Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Brooke White	F	Sr	29	8	15	23	0.7931	2	1	0	1
Kim Greene	D	Sr	31	15	5	20	0.6452	2	3	0	0
Rebecca Paul	F	Fr	31	7	11	18	0.5806	1	0	0	0
Lori DiGiacomo	F	So	31	2	11	13	0.4194	0	1	0	0
Michelle Lorion	F	Sr	16	6	6	12	0.7500	1	0	0	1
Pamela Pachal	D	Sr	16	6	5	11	0.6875	1	1	0	0
Cyndy Kenyon	F	Fr	24	3	7	10	0.4167	1	0	0	0
Theresa Ella	D	Fr	27	4	5	9	0.3333	0	0	0	0
Rebecca Peters	D	Fr	31	2	6	8	0.2581	1	2	0	0
Lindsay Snider	D	Fr	31	1	5	6	0.1935	0	0	0	0
Nancy Collins	F	Sr	15	1	3	4	0.2667	0	0	0	0
Danielle Keefe	D	Sr	31	1	2	3	0.0968	0	0	0	0
Rachel Bertram	D	Fr	30	0	3	3	0.1000	0	0	0	0
Kathryn Sands	F	Fr	31	0	1	1	0.0323	0	0	0	0
Chrissy Sands	F	Fr	31	0	1	1	0.0323	0	0	0	0
Linda Desruisseaux	F/D	Fr	30	0	0	0	0.0000	0	0	0	0
Jess Judge	F	So	31	0	0	0	0.0000	0	0	0	0
Stephanie Wood	F	Fr	3	0	0	0	0.0000	0	0	0	0
Marisa Hourihan	G	So	5	0	0	0	0.0000	0	0	0	0
Trazana Brown	F	Sr	28	0	0	0	0.0000	0	0	0	0
Jennifer Bergeron	D	So	22	0	0	0	0.0000	0	0	0	0
Chanda Gunn	G	Sr	26	0	0	0	0.0000	0	0	0	0
Jennifer Beaudoin	D	Fr	30	0	0	0	0.0000	0	0	0	0
