Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Amy Goodney	F	So	32	8	15	23	0.7188	1	1	1	0
Crystal Rochon	F	So	31	8	14	22	0.7097	0	3	0	0
Nikki Petrich	F	Fr	32	12	7	19	0.5938	0	7	0	1
Lori DiGiacomo	F	Sr	32	3	12	15	0.4688	1	3	0	0
Ashley Bielawski	F	So	32	6	6	12	0.3750	0	3	0	0
Marie Desrosiers	F	So	32	3	5	8	0.2500	0	0	0	0
Stephanie Wood	F	So	30	4	3	7	0.2333	1	0	0	0
Missy Elumba	F	Fr	21	3	4	7	0.3333	0	1	0	0
Jessica Coppney	F	So	32	3	2	5	0.1563	0	1	0	0
Jennifer Beaudoin	D	Jr	30	1	4	5	0.1667	0	1	0	0
Kathryn Sands	F	Jr	32	2	2	4	0.1250	0	1	0	0
Lindsay Snider	D	Jr	32	0	4	4	0.1250	0	0	0	0
Chrissy Sands	F	Jr	26	2	1	3	0.1154	0	0	0	0
Melissa Wigmore	F	So	16	1	1	2	0.1250	0	0	0	0
Meredith Miller	F	Fr	31	0	1	1	0.0323	0	0	0	0
Marisa Hourihan	G	Sr	32	0	0	0	0.0000	0	0	0	0
Linda Desruisseaux	F	Jr	31	0	0	0	0.0000	0	0	0	0
Jen Begeron	D	Jr	1	0	0	0	0.0000	0	0	0	0
