Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kendall Coyne	F	Fr	31	26	19	45	1.4516	21	42	7	2	3	4
Casey Pickett	F	Jr	33	18	23	41	1.2424	9	18	3	3	4	2
Brittany Esposito	F	Jr	33	9	18	27	0.8182	6	12	2	2	0	0
Rachel Llanes	F	Jr	33	9	11	20	0.6061	7	14	3	1	0	0
Lucie Povova	F	Fr	33	7	12	19	0.5758	0	0	1	3	0	0
Katie MacSorley	F	So	32	7	9	16	0.5000	8	16	0	2	0	0
Maggie DiMasi	D	So	28	6	8	14	0.5000	4	8	1	2	1	1
Stephanie Gavronsky	D	Sr	33	6	8	14	0.4242	22	44	0	2	0	0
Claire Santostefano	F	So	33	3	9	12	0.3636	6	12	2	0	0	0
Dani Rylan	F	Sr	33	3	7	10	0.3030	8	16	2	0	0	0
Colleen Murphy	D	Fr	31	3	7	10	0.3226	9	18	1	1	0	0
Sonia St. Martin	D	So	32	1	7	8	0.2500	17	34	0	0	0	0
Ann Doherty	D	Fr	33	1	7	8	0.2424	15	30	0	1	0	0
Kelly Wallace	F	Jr	33	2	5	7	0.2121	6	12	0	0	0	0
Maggie Brennolt	D	So	33	0	7	7	0.2121	3	6	0	0	0	0
Siena Falino	F	Jr	33	3	0	3	0.0909	1	2	0	1	0	0
Chelsey Goldberg	F	Fr	18	0	1	1	0.0556	0	0	0	0	0	0
Casie Fields	D	Jr	30	0	0	0	0.0000	0	0	0	0	0	0
Florence Schelling	G	Sr	30	0	0	0	0.0000	1	2	0	0	0	0
Chloé Desjardins	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Leanne Gallant	D	Fr	17	0	0	0	0.0000	4	8	0	0	0	0
Chelsiea Goll	F	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
