Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Robyn Matula	F	Fr	25	13	2	15	0.6000	5	10	2	0	0	0
Allyson Reilly	F	Fr	25	10	3	13	0.5200	4	8	1	3	2	0
Ashley Hammes	F	Fr	25	2	6	8	0.3200	8	16	0	0	0	0
Ally Covert	F	Fr	23	3	4	7	0.3043	2	4	0	0	0	0
Kylie Fahmer	F	Fr	24	1	6	7	0.2917	5	10	0	1	0	0
Amanda Abounader	D	Fr	25	2	4	6	0.2400	14	28	0	2	0	0
Samantha Scott	F	Fr	24	2	4	6	0.2500	12	24	0	2	0	0
Markia Smith	F	Fr	21	1	5	6	0.2857	16	32	0	0	0	0
Destiny Muir	D	So	25	4	1	5	0.2000	9	18	1	1	0	0
Michaela Isetts-Williams	F	Fr	21	2	3	5	0.2381	2	4	0	1	0	0
Kylie Wickiser	F	Fr	22	3	1	4	0.1818	4	8	0	0	0	0
Breena Gaskov	F	Fr	22	1	3	4	0.1818	1	2	0	0	0	0
Vivienne Kallio	D	Fr	22	0	2	2	0.0909	4	8	0	0	0	0
Emma Vandergeest	F	Fr	7	0	2	2	0.2857	1	2	0	0	0	0
Cheyenne Otto	D	So	13	0	0	0	0.0000	3	6	0	0	0	0
Maggie Cusey	G	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
Madysen Zachmeier	F/D	Fr	14	0	0	0	0.0000	6	12	0	0	0	0
Chloe Marshall	G	Fr	20	0	0	0	0.0000	2	4	0	0	0	0
Kara Winter	D	Sr	3	0	0	0	0.0000	0	0	0	0	0	0
