Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Sophie Leclerc	F	Jr	25	14	14	28	1.1200	0	0	4	9	1	0
Kelsey Cone	D	Fr	25	10	15	25	1.0000	3	6	0	5	1	0
Sarah Scardino	F	Fr	25	10	11	21	0.8400	22	52	1	4	0	0
Katie Leupp	F	So	25	4	6	10	0.4000	3	6	2	3	0	0
Amanda Gage	F	Sr	25	4	4	8	0.3200	0	0	2	1	0	0
Annie DiVito	F	So	24	3	4	7	0.2917	16	32	1	0	1	0
Hilary Davis	F	Sr	24	3	3	6	0.2500	1	2	0	2	0	0
Shannon Silver	D	So	25	2	4	6	0.2400	14	28	1	0	0	0
Emily Goff	F	Fr	16	1	4	5	0.3125	10	20	0	1	0	0
Danielle LaSpina	D	Fr	19	1	3	4	0.2105	14	28	1	0	0	0
Ashley Cassan	F	Fr	25	1	2	3	0.1200	7	14	0	0	0	0
Ashley Potvin	D	Fr	19	1	1	2	0.1053	0	0	0	0	0	0
Brittane Michaud	F	Fr	4	1	1	2	0.5000	0	0	0	0	0	0
Erika VanDerWerf	F	Fr	9	0	1	1	0.1111	1	2	0	0	0	0
Melissa Bocash	F	Sr	24	0	1	1	0.0417	1	2	0	0	0	0
Juanita Benavides	D	Fr	7	0	1	1	0.1429	7	14	0	0	0	0
Kaitlyn Doolittle	D	So	25	0	1	1	0.0400	9	18	0	0	0	0
Tara Mead	F	Fr	20	0	1	1	0.0500	1	2	0	0	0	0
Ramanza Wheeler	D	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Becky Scully	D	Jr	24	0	0	0	0.0000	7	14	0	0	0	0
Nicole Ludwig	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Elisa LaRoche	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Kate Barrett	D	Sr	24	0	0	0	0.0000	1	2	0	0	0	0
Cindy Fortin	G	Fr	23	0	0	0	0.0000	2	4	0	0	0	0
Kellie Pickel	F	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Courtney Miniter	G	Sr	3	0	0	0	0.0000	0	0	0	0	0	0
