Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Julie Fortier	F	Sr	30	31	24	55	1.8333	10	20	7	10	2	0
Jillayne DeBus	F	Jr	31	22	27	49	1.5806	16	32	0	4	0	0
Kaycie Anderson	F	Fr	31	23	24	47	1.5161	5	10	4	5	0	0
Melissa Rundlett	F	Sr	30	14	27	41	1.3667	11	22	1	3	2	1
Sarianne Lynn	D	Sr	31	6	33	39	1.2581	7	14	2	2	1	0
Renee Lortie	F	So	31	20	18	38	1.2258	1	2	5	9	0	0
Tyne Gove	F	Fr	31	13	22	35	1.1290	4	8	3	4	0	0
Amanda Wilks	D	Sr	30	9	21	30	1.0000	7	14	0	4	1	0
Stephanie Invernizzi	F	Jr	31	7	10	17	0.5484	3	6	2	0	0	0
Jacqueline Perez	F	Jr	30	7	8	15	0.5000	2	4	1	2	0	0
Meghan Papagno	F	So	17	6	7	13	0.7647	4	8	0	3	0	0
Kayla Parsons	D	So	23	4	9	13	0.5652	13	37	1	1	1	0
Brittany Sharman	D	So	28	3	10	13	0.4643	9	18	0	1	0	0
Marie-Philip Guay	D	So	31	2	10	12	0.3871	17	34	0	1	0	0
Kayla Lascelle	D	So	25	2	8	10	0.4000	1	2	0	0	0	0
Baylie Lamarre	D	So	19	1	9	10	0.5263	4	8	0	1	0	0
Mollie Fitzpatrick	F	Sr	22	4	5	9	0.4091	5	10	0	0	0	0
Vanessa Champagne	F/D	Fr	27	4	5	9	0.3333	2	4	1	2	0	0
Haley Gibson	F	So	28	1	5	6	0.2143	5	10	0	0	0	0
Elle Kadel	F	So	20	3	2	5	0.2500	2	4	0	1	0	0
Carolyn Valentine	F	Fr	5	1	3	4	0.8000	1	2	0	0	0	0
Kelly Fisk	G	So	22	0	1	1	0.0455	0	0	0	0	0	0
Brittany Casey	D	Jr	3	0	1	1	0.3333	0	0	0	0	0	0
Caroline Barth	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Sophie Mundell	G		1	0	0	0	0.0000	0	0	0	0	0	0
Joanie Plamondon	G	So	9	0	0	0	0.0000	0	0	0	0	0	0
Bianca Bogda	F	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Courtney Parisot	F	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Chiara Traversa	G	Sr	1	0	0	0	0.0000	0	0	0	0	0	0
