Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jana Harrigan	F	Jr	37	16	38	54	1.4595	1	5	0	1
Jeni Creary	W	Sr	37	29	16	45	1.2162	6	15	0	1
Tessa Bonhomme	D	So	30	7	20	27	0.9000	1	3	0	0
Meaghan Mulvaney	W	Sr	35	12	14	26	0.7429	1	7	0	0
Amber Bowman	D	So	37	6	17	23	0.6216	3	4	0	0
Mallory Peckels	F	Fr	37	3	13	16	0.4324	1	1	0	0
Crystal Sayther	C	Jr	37	5	4	9	0.2432	0	0	0	1
Lisa Chesson	D	Fr	37	3	6	9	0.2432	0	0	0	0
Jaclyn Haines	D	Sr	37	3	4	7	0.1892	0	0	0	0
Erin Keys	F	Fr	37	3	3	6	0.1622	0	0	0	0
Katie Maroney	F/D	So	37	4	1	5	0.1351	1	0	0	0
Jody Heywood	F	Fr	37	3	2	5	0.1351	0	0	0	0
Shelby Aldous	F	Fr	37	1	3	4	0.1081	1	0	0	0
Krysta Skarda	F	So	37	1	2	3	0.0811	1	0	0	0
Pamela Patterson	F	Fr	37	1	2	3	0.0811	1	0	0	0
Jennifer Desson	C	Sr	6	1	0	1	0.1667	0	0	0	0
Katie Sershen	D	Jr	19	1	0	1	0.0526	0	0	0	0
Lacey Schultz	D	So	37	0	1	1	0.0270	0	0	0	0
Melissa Glaser	G	Sr	17	0	0	0	0.0000	0	0	0	0
Rachel Vanscoy	D	Fr	18	0	0	0	0.0000	0	0	0	0
Erika Vanderveer	G	So	20	0	0	0	0.0000	0	0	0	0
