Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Laura McIntosh	F	Jr	33	14	33	47	1.4242	12	24	3	3	0	0
Natalie Spooner	F	Jr	29	26	13	39	1.3448	16	32	5	10	1	0
Hokey Langan	F	So	27	13	18	31	1.1481	13	26	0	5	1	2
Shannon Reilly	D	Sr	34	9	14	23	0.6765	11	22	1	3	0	0
Kelly Wild	D	Jr	36	3	16	19	0.5278	14	28	0	2	0	0
Tina Hollowell	F	So	36	3	13	16	0.4444	7	14	1	0	0	0
Ally Tarr	F	Fr	36	7	7	14	0.3889	2	4	1	0	0	0
Paige Semenza	F	So	34	7	6	13	0.3824	11	22	1	0	2	0
Melissa Feste	F	Jr	36	4	6	10	0.2778	5	10	1	1	0	0
Minttu Tuominen	F	So	32	2	8	10	0.3125	5	10	0	0	0	1
Kim Theut	F	Jr	34	3	4	7	0.2059	7	14	0	1	0	0
Christina Mancuso	F	Sr	32	3	3	6	0.1875	15	30	1	0	0	0
Becky Allis	D	Fr	32	2	4	6	0.1875	6	12	0	0	0	0
Amanda Boskovich	F	So	33	2	2	4	0.1212	0	0	0	0	0	0
Teal Bishop	D	Sr	36	0	4	4	0.1111	16	43	0	0	0	0
Jenna Kilpatrick	F	Sr	24	1	2	3	0.1250	0	0	0	0	0	0
Lisa Steffes	G	Fr	36	0	3	3	0.0833	0	0	0	0	0	0
Liz Rizzo	F	So	32	0	2	2	0.0625	2	4	0	0	0	0
Loren Carrier	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Brittany Carlson	D	Jr	35	0	0	0	0.0000	8	16	0	0	0	0
Sandy Nelson	D	Sr	10	0	0	0	0.0000	0	0	0	0	0	0
Madison Marcotte	D	Fr	15	0	0	0	0.0000	2	4	0	0	0	0
Annie Svedin	D	Fr	29	0	0	0	0.0000	0	0	0	0	0	0
