Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jessica Lister	F	So	21	15	7	22	1.0476	1	4	0	0
Stephanie Esposito	F	So	19	8	11	19	1.0000	2	1	0	0
Jessica O'Grady	F	Fr	14	8	7	15	1.0714	0	2	0	0
Angie Friesen	D	Fr	22	6	8	14	0.6364	2	2	0	0
Jenna Kirkwood	F	Fr	21	6	7	13	0.6190	1	2	1	0
Kendra Lemire	F	Fr	22	5	6	11	0.5000	0	1	0	0
Tiffany Duquette	F	Fr	21	6	4	10	0.4762	0	2	0	0
Mackenzie May	F	Fr	21	4	4	8	0.3810	0	1	0	0
Aprilyn Gush	D	Fr	22	2	4	6	0.2727	1	1	0	0
Shea Miller	D	Fr	10	1	3	4	0.4000	0	0	0	0
Nicole Holman	D	So	12	1	3	4	0.3333	0	1	0	0
Jessica Zenzel	F	Fr	21	0	4	4	0.1905	0	0	0	0
Rachael Esenwein	D	Fr	8	0	4	4	0.5000	0	0	0	0
Stefani Krysztofowicz	F	Fr	22	2	1	3	0.1364	0	0	0	0
Amanda Chattelle	D	Fr	22	0	3	3	0.1364	0	0	0	0
Pam Moore	F	Fr	22	1	1	2	0.0909	0	0	0	0
Karly Armstrong	F	Fr	22	1	1	2	0.0909	0	0	0	0
Colleen Fischer	F	Fr	19	0	1	1	0.0526	0	0	0	0
Danielle Rozler	F	Fr	14	0	1	1	0.0714	0	0	0	0
Erin Robson	G	Fr	10	0	0	0	0.0000	0	0	0	0
Hilary Hitchman	G	Fr	15	0	0	0	0.0000	0	0	0	0
